# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 15:34:17 EST 2016, 655, .55000000000000000000, 9, .31000000000000000000, 546, 26, 6, 9, 47, 6.120, 4.980
Thu Dec 29 15:35:53 EST 2016, 501, .25000000000000000000, 2, .99000000000000000000, 335, 78, 19, 39, 90, 42.657, 38.453
Thu Dec 29 15:36:28 EST 2016, 5451, .75000000000000000000, 8, .49000000000000000000, 485, 33, 9, 14, 45, 14.827, 9.227
Thu Dec 29 15:37:14 EST 2016, 7926, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.057
Thu Dec 29 15:38:14 EST 2016, 2976, .50000000000000000000, 5, .24000000000000000000, 410, 11, 14, 2, 23, 2.227, 1.593
Thu Dec 29 15:39:30 EST 2016, 4213, .13000000000000000000, 7, .86000000000000000000, 598, 22, 16, 20, 79, 14.250, 12.923
Thu Dec 29 15:40:26 EST 2016, 9163, .63000000000000000000, 1, .36000000000000000000, 448, 67, 7, 45, 34, 9.233, 8.747
Thu Dec 29 15:41:21 EST 2016, 6688, .38000000000000000000, 4, .61000000000000000000, 373, 44, 2, 8, 57, 1.850, 1.787
Thu Dec 29 15:42:37 EST 2016, 1738, .88000000000000000000, 10, .11000000000000000000, 523, 89, 12, 33, 12, 17.103, 14.767
Thu Dec 29 15:48:43 EST 2016, 2357, .07000000000000000000, 5, .30000000000000000000, 467, 95, 18, 11, 85, 300.000, 35.990
Thu Dec 29 15:49:34 EST 2016, 7307, .57000000000000000000, 11, .80000000000000000000, 317, 50, 8, 36, 40, 10.397, 8.963
Thu Dec 29 15:50:34 EST 2016, 9782, .32000000000000000000, 8, .05000000000000000000, 392, 72, 3, 23, 62, 8.683, 8.253
Thu Dec 29 15:51:35 EST 2016, 4832, .82000000000000000000, 2, .55000000000000000000, 542, 27, 13, 48, 17, 9.470, 7.893
Thu Dec 29 15:52:56 EST 2016, 3594, .44000000000000000000, 9, .42000000000000000000, 429, 16, 15, 30, 96, 27.210, 17.443
Thu Dec 29 15:53:41 EST 2016, 8544, .94000000000000000000, 3, .92000000000000000000, 579, 61, 6, 5, 51, 13.173, 7.497
Thu Dec 29 15:54:32 EST 2016, 6069, .19000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.057
Thu Dec 29 15:55:42 EST 2016, 1119, .69000000000000000000, 6, .67000000000000000000, 354, 84, 10, 17, 28, 12.293, 9.610
Thu Dec 29 15:56:38 EST 2016, 810, .22000000000000000000, 10, .58000000000000000000, 401, 64, 10, 3, 26, 3.967, 3.770
Thu Dec 29 16:03:05 EST 2016, 5760, .72000000000000000000, 4, .08000000000000000000, 551, 19, 19, 28, 71, 300.000, 39.037
Thu Dec 29 16:03:55 EST 2016, 8235, .47000000000000000000, 1, .83000000000000000000, 476, 86, 15, 16, 48, 15.240, 12.397
Thu Dec 29 16:05:06 EST 2016, 3285, .97000000000000000000, 7, .33000000000000000000, 326, 41, 5, 41, 93, 26.893, 20.383
Thu Dec 29 16:05:46 EST 2016, 4523, .35000000000000000000, 3, .70000000000000000000, 514, 53, 7, 34, 14, 3.587, 3.480
Thu Dec 29 16:12:03 EST 2016, 9473, .85000000000000000000, 9, .20000000000000000000, 364, 98, 17, 9, 59, 300.000, 36.717
Thu Dec 29 16:12:58 EST 2016, 6998, .10000000000000000000, 6, .95000000000000000000, 439, 30, 12, 47, 37, 8.343, 8.107
Thu Dec 29 16:13:49 EST 2016, 2048, .60000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 16:15:05 EST 2016, 1429, .41000000000000000000, 8, .14000000000000000000, 532, 70, 9, 44, 20, 15.390, 13.793
Thu Dec 29 16:21:36 EST 2016, 6379, .91000000000000000000, 2, .64000000000000000000, 382, 25, 18, 19, 65, 300.000, 15.257
Thu Dec 29 16:22:22 EST 2016, 8854, .16000000000000000000, 5, .39000000000000000000, 307, 92, 13, 31, 43, 22.283, 19.543
Thu Dec 29 16:23:07 EST 2016, 3904, .66000000000000000000, 11, .89000000000000000000, 457, 47, 4, 6, 88, 7.570, 5.940
Thu Dec 29 16:24:03 EST 2016, 2666, .04000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.050, 0.050
Thu Dec 29 16:30:50 EST 2016, 7616, .54000000000000000000, 6, .52000000000000000000, 495, 81, 16, 37, 76, 300.000, 89.503
Thu Dec 29 16:31:10 EST 2016, 5141, .29000000000000000000, 9, .27000000000000000000, 570, 13, 11, --cols, , 0.057, 0.057
Thu Dec 29 16:32:21 EST 2016, 191, .79000000000000000000, 3, .77000000000000000000, 420, 58, 2, 25, 99, 8.357, 8.380
Thu Dec 29 16:33:52 EST 2016, 230, .20000000000000000000, 1, .33000000000000000000, 576, 84, 12, 33, 96, 37.663, 38.680
Thu Dec 29 16:34:12 EST 2016, 5180, .70000000000000000000, 7, .83000000000000000000, 426, 39, 3, 8, 51, 2.670, 2.447
Thu Dec 29 16:35:53 EST 2016, 7655, .45000000000000000000, 10, .08000000000000000000, 351, 61, 8, 45, 73, 39.950, 29.787
Thu Dec 29 16:36:23 EST 2016, 2705, .95000000000000000000, 4, .58000000000000000000, 501, 16, 17, 20, 28, 11.007, 8.370
Thu Dec 29 16:39:14 EST 2016, 3943, .33000000000000000000, 8, .46000000000000000000, 313, 28, 10, 1, 84, 111.793, 5.707
Thu Dec 29 16:40:20 EST 2016, 8893, .83000000000000000000, 2, .96000000000000000000, 463, 73, 1, 26, 39, 1.773, 1.837
Thu Dec 29 16:41:25 EST 2016, 6418, .08000000000000000000, 5, .21000000000000000000, 538, 50, 5, 14, 62, 6.460, 6.733
Thu Dec 29 16:42:41 EST 2016, 1468, .58000000000000000000, 11, .71000000000000000000, 388, 95, 15, 39, 17, 20.890, 17.640
Thu Dec 29 16:44:01 EST 2016, 2086, .39000000000000000000, 3, .90000000000000000000, 444, 90, 14, 17, 79, 40.097, 30.133
Thu Dec 29 16:44:32 EST 2016, 7036, .89000000000000000000, 9, .40000000000000000000, 594, 45, 4, 42, 34, 12.157, 11.200
Thu Dec 29 16:50:59 EST 2016, 9511, .14000000000000000000, 6, .65000000000000000000, 519, 67, 9, 4, 56, 179.250, 7.493
Thu Dec 29 16:51:29 EST 2016, 4561, .64000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.063
Thu Dec 29 16:52:45 EST 2016, 3324, .02000000000000000000, 11, .77000000000000000000, 482, 11, 11, 48, 90, 10.317, 10.067
Thu Dec 29 16:53:36 EST 2016, 8274, .52000000000000000000, 5, .27000000000000000000, 332, 56, 2, 23, 45, 2.863, 2.773
Thu Dec 29 16:54:41 EST 2016, 5799, .27000000000000000000, 2, .52000000000000000000, 407, 33, 6, 36, 67, 6.313, 5.910
Thu Dec 29 16:56:07 EST 2016, 849, .77000000000000000000, 8, .02000000000000000000, 557, 78, 16, 11, 22, 31.383, 19.867
Thu Dec 29 16:56:42 EST 2016, 1158, .30000000000000000000, 9, .24000000000000000000, 491, 59, 4, 22, 31, 4.963, 4.913
Thu Dec 29 16:57:53 EST 2016, 6108, .80000000000000000000, 3, .74000000000000000000, 341, 14, 13, 47, 76, 15.057, 10.833
Thu Dec 29 16:58:38 EST 2016, 8583, .05000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.070
Thu Dec 29 17:00:04 EST 2016, 3633, .55000000000000000000, 6, .99000000000000000000, 566, 36, 8, 34, 98, 25.310, 23.617
Thu Dec 29 17:00:39 EST 2016, 4871, .17000000000000000000, 4, .11000000000000000000, 379, 47, 1, 40, 20, 0.777, 0.877
Thu Dec 29 17:06:56 EST 2016, 9821, .67000000000000000000, 10, .61000000000000000000, 529, 92, 11, 15, 65, 300.000, 38.817
Thu Dec 29 17:08:02 EST 2016, 7346, .42000000000000000000, 7, .36000000000000000000, 454, 25, 15, 28, 42, 15.497, 11.780
Thu Dec 29 17:09:47 EST 2016, 2396, .92000000000000000000, 1, .86000000000000000000, 304, 70, 6, 3, 87, 36.137, 5.443
Thu Dec 29 17:10:53 EST 2016, 1777, .11000000000000000000, 6, .55000000000000000000, 360, 76, 5, 25, 14, 2.140, 2.093
Thu Dec 29 17:11:49 EST 2016, 6727, .61000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, 59, 0.060, 0.063
Thu Dec 29 17:13:55 EST 2016, 9202, .36000000000000000000, 3, .80000000000000000000, 585, 98, 19, 37, 37, 58.903, 48.007
Thu Dec 29 17:20:37 EST 2016, 4252, .86000000000000000000, 9, .30000000000000000000, 435, 53, 9, 12, 82, 300.000, 24.113
