# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 19:26:49 EST 2017, 4382, 0.800, 10, 0.940, 388, 12, 1, 10, 64, 0.517, 0.460
Tue Jan 10 19:29:00 EST 2017, 3145, 0.430, 0, 0.060, 575, 23, 8, 16, 53, 7.167, 8.027
Tue Jan 10 19:35:57 EST 2017, 8095, 0.930, 6, 0.560, 425, 68, 18, 41, 98, 149.677, 0.000
Tue Jan 10 19:38:33 EST 2017, 5620, 0.180, 9, 0.310, 350, 45, 13, 4, 31, 3.267, 7.593
Tue Jan 10 19:42:44 EST 2017, 670, 0.680, 3, 0.810, 500, 90, 4, 29, 76, 20.280, 19.843
Tue Jan 10 19:46:35 EST 2017, 515, 0.380, 8, 0.480, 420, 13, 12, 22, 29, 2.677, 2.847
Tue Jan 10 19:48:41 EST 2017, 5465, 0.880, 2, 0.980, 570, 58, 2, 47, 74, 9.133, 8.960
Tue Jan 10 19:52:42 EST 2017, 7940, 0.130, 5, 0.230, 495, 36, 7, 9, 52, 4.303, 4.813
Tue Jan 10 19:56:23 EST 2017, 2990, 0.630, 11, 0.730, 345, 81, 16, 34, 97, 90.290, 95.043
Tue Jan 10 20:00:00 EST 2017, 4228, 0.000, 0, 0.360, 458, 92, 14, 41, 18, 13.123, 13.250
Tue Jan 10 20:01:55 EST 2017, 9178, 0.500, 6, 0.860, 308, 47, 4, 16, 63, 3.883, 3.920
Tue Jan 10 20:03:06 EST 2017, 6703, 0.250, 9, 0.110, 383, 69, 9, 28, 40, 12.653, 12.700
Tue Jan 10 20:10:35 EST 2017, 1753, 0.750, 3, 0.610, 533, 24, 19, 3, 85, 18.437, 0.000
Tue Jan 10 20:12:56 EST 2017, 2371, 0.190, 10, 0.790, 589, 30, 10, 25, 12, 2.353, 2.313
Tue Jan 10 20:14:52 EST 2017, 7321, 0.690, 4, 0.290, 439, 75, 1, 0, 57, 1.667, 1.577
Tue Jan 10 20:15:52 EST 2017, 9796, 0.440, 1, 0.540, 364, 52, 6, 38, 35, 3.307, 3.337
Tue Jan 10 20:16:53 EST 2017, 4846, 0.940, 7, 0.040, 514, 97, 15, 13, 80, 0.203, 0.210
Tue Jan 10 20:18:59 EST 2017, 3609, 0.320, 3, 0.920, 327, 86, 13, 6, 23, 3.660, 3.560
Tue Jan 10 20:21:10 EST 2017, 8559, 0.820, 9, 0.420, 477, 41, 3, 31, 68, 9.230, 9.130
Tue Jan 10 20:25:16 EST 2017, 6084, 0.070, 6, 0.670, 552, 64, 8, 19, 46, 10.237, 10.520
Tue Jan 10 20:29:42 EST 2017, 1134, 0.570, 0, 0.170, 402, 19, 18, 44, 91, 29.410, 34.493
Tue Jan 10 20:32:23 EST 2017, 825, 0.100, 5, 0.080, 355, 38, 3, 33, 99, 5.563, 5.520
Tue Jan 10 20:38:45 EST 2017, 5775, 0.600, 11, 0.580, 505, 83, 12, 8, 54, 23.177, 207.723
Tue Jan 10 20:42:51 EST 2017, 8250, 0.350, 8, 0.330, 580, 16, 17, 45, 77, 26.693, 29.340
Tue Jan 10 20:46:32 EST 2017, 3300, 0.850, 2, 0.830, 430, 61, 7, 20, 32, 5.990, 5.840
Tue Jan 10 20:50:54 EST 2017, 4537, 0.470, 9, 0.200, 542, 72, 5, 2, 88, 11.703, 127.357
Tue Jan 10 20:54:50 EST 2017, 9487, 0.970, 3, 0.700, 392, 27, 15, 27, 43, 11.883, 12.050
Tue Jan 10 21:02:07 EST 2017, 7012, 0.220, 0, 0.450, 317, 95, 19, 14, 66, 30.790, 0.000
Tue Jan 10 21:04:53 EST 2017, 2062, 0.720, 6, 0.950, 467, 50, 10, 39, 21, 9.727, 9.613
Tue Jan 10 21:06:48 EST 2017, 1443, 0.290, 2, 0.640, 524, 44, 2, 17, 83, 3.060, 2.970
Tue Jan 10 21:09:24 EST 2017, 6393, 0.790, 8, 0.140, 374, 89, 11, 42, 38, 35.650, 37.233
Tue Jan 10 21:10:55 EST 2017, 8868, 0.040, 11, 0.890, 449, 22, 16, 5, 60, 3.743, 3.827
Tue Jan 10 21:12:01 EST 2017, 3918, 0.540, 5, 0.390, 599, 67, 6, 30, 15, 6.527, 5.883
Tue Jan 10 21:13:11 EST 2017, 2681, 0.160, 7, 0.510, 411, 55, 4, 48, 94, 14.887, 14.790
Tue Jan 10 21:17:17 EST 2017, 7631, 0.660, 1, 0.010, 561, 10, 13, 23, 49, 7.930, 16.993
Tue Jan 10 21:22:24 EST 2017, 5156, 0.410, 4, 0.760, 486, 78, 18, 36, 71, 72.453, 75.843
Tue Jan 10 21:25:10 EST 2017, 206, 0.910, 10, 0.260, 336, 33, 9, 11, 26, 0.087, 0.083
Tue Jan 10 21:27:16 EST 2017, 245, 0.080, 7, 0.840, 471, 19, 15, 3, 23, 1.250, 1.200
Tue Jan 10 21:29:21 EST 2017, 5195, 0.580, 1, 0.340, 321, 64, 5, 28, 68, 5.713, 6.253
Tue Jan 10 21:32:22 EST 2017, 7670, 0.330, 4, 0.590, 396, 42, 1, 15, 46, 0.937, 0.957
Tue Jan 10 21:39:39 EST 2017, 2720, 0.830, 10, 0.090, 546, 87, 10, 40, 91, 113.427, 0.000
Tue Jan 10 21:45:41 EST 2017, 3957, 0.450, 2, 0.960, 433, 98, 17, 34, 12, 8.727, 8.480
Tue Jan 10 21:49:42 EST 2017, 8907, 0.950, 8, 0.460, 583, 53, 8, 9, 57, 0.170, 0.147
Tue Jan 10 21:51:48 EST 2017, 6432, 0.200, 11, 0.710, 508, 75, 3, 47, 34, 6.980, 7.040
Tue Jan 10 21:56:09 EST 2017, 1482, 0.700, 5, 0.210, 358, 30, 12, 22, 79, 21.400, 23.597
Tue Jan 10 21:59:55 EST 2017, 2101, 0.270, 9, 0.400, 302, 25, 16, 44, 17, 4.000, 4.050
Tue Jan 10 22:03:06 EST 2017, 7051, 0.770, 3, 0.900, 452, 70, 6, 19, 62, 13.250, 13.250
Tue Jan 10 22:04:52 EST 2017, 9526, 0.020, 0, 0.150, 527, 47, 2, 31, 40, 2.443, 2.437
Tue Jan 10 22:11:40 EST 2017, 4576, 0.520, 6, 0.650, 377, 92, 11, 6, 85, 24.393, 0.000
Tue Jan 10 22:14:16 EST 2017, 3338, 0.140, 4, 0.280, 565, 81, 18, 12, 29, 14.340, 15.300
Tue Jan 10 22:16:17 EST 2017, 8288, 0.640, 10, 0.780, 415, 36, 9, 37, 74, 19.960, 20.127
Tue Jan 10 22:19:08 EST 2017, 5813, 0.390, 7, 0.030, 340, 58, 4, 0, 51, 2.493, 4.973
Tue Jan 10 22:23:14 EST 2017, 863, 0.890, 1, 0.530, 490, 13, 14, 25, 96, 9.510, 11.797
