# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 23:36:28 EDT 2017, 0.810, 122, 27, 2, 27, 599, 6, 49, 28, 48, 80.830, 7.210
Sun Jul  2 23:37:06 EDT 2017, 0.310, 142, 22, 6, 16, 449, 15, 29, 13, 28, 37.800, 3.663
Sun Jul  2 23:37:21 EDT 2017, 0.430, 127, 26, 5, 25, 411, 13, 14, 17, 43, 14.720, 2.163
Sun Jul  2 23:37:23 EDT 2017, 0.930, 147, 21, 9, 14, 561, 3, 34, 2, 23, 2.013, 1.320
Sun Jul  2 23:37:25 EDT 2017, 0.680, 137, 24, 3, 8, 336, 8, 24, 24, 13, 1.727, 1.103
Sun Jul  2 23:39:29 EDT 2017, 0.180, 157, 29, 7, 19, 486, 17, 44, 9, 33, 123.897, 6.517
Sun Jul  2 23:39:34 EDT 2017, 0.240, 120, 23, 9, 23, 467, 12, 22, 15, 15, 4.763, 1.320
Sun Jul  2 23:39:36 EDT 2017, 0.740, 140, 28, 5, 12, 317, 2, 42, 0, 35, 1.817, 1.117
Sun Jul  2 23:39:41 EDT 2017, 0.990, 130, 26, 7, 18, 542, 7, 12, 22, 45, 4.380, 1.570
Sun Jul  2 23:40:20 EDT 2017, 0.490, 150, 21, 3, 29, 392, 16, 32, 7, 25, 39.333, 3.590
Sun Jul  2 23:42:50 EDT 2017, 0.370, 135, 29, 8, 15, 430, 14, 47, 19, 40, 149.950, 6.950
Sun Jul  2 23:42:52 EDT 2017, 0.870, 155, 24, 4, 26, 580, 4, 27, 4, 20, 2.010, 1.357
Sun Jul  2 23:42:55 EDT 2017, 0.620, 125, 22, 6, 20, 355, 9, 37, 26, 10, 2.720, 1.033
Sun Jul  2 23:43:20 EDT 2017, 0.120, 145, 27, 2, 9, 505, 19, 17, 11, 30, 24.607, 2.987
Sun Jul  2 23:43:21 EDT 2017, 0.090, 126, 28, 3, 17, 570, 1, 25, 14, 24, 0.373, 0.557
Sun Jul  2 23:45:08 EDT 2017, 0.590, 146, 23, 7, 28, 420, 11, 45, 29, 44, 107.303, 6.577
Sun Jul  2 23:45:30 EDT 2017, 0.840, 136, 20, 5, 22, 495, 16, 15, 6, 34, 21.407, 2.853
Sun Jul  2 23:45:32 EDT 2017, 0.340, 156, 25, 9, 11, 345, 6, 35, 21, 14, 1.603, 0.870
Sun Jul  2 23:45:40 EDT 2017, 0.460, 131, 24, 2, 20, 308, 4, 40, 10, 39, 8.367, 1.903
Sun Jul  2 23:45:45 EDT 2017, 0.960, 151, 29, 6, 9, 458, 13, 20, 25, 19, 4.957, 1.417
Sun Jul  2 23:46:45 EDT 2017, 0.710, 121, 26, 4, 14, 383, 18, 30, 3, 29, 59.193, 3.840
Sun Jul  2 23:46:51 EDT 2017, 0.210, 141, 21, 8, 25, 533, 9, 10, 18, 49, 6.073, 1.793
