# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:24:08 EST 2017, 7075, 0.480, 9, 0.230, 375, 90, 19, 12, 50, 78.513, 62.140
Mon Jan  9 15:25:45 EST 2017, 2125, 0.980, 5, 0.730, 525, 45, 10, 37, 95, 95.030, 90.080
Mon Jan  9 15:25:47 EST 2017, 1506, 0.040, 7, 0.920, 581, 51, 1, 15, 22, 1.967, 2.107
Mon Jan  9 15:27:46 EST 2017, 6456, 0.540, 3, 0.420, 431, 96, 11, 40, 67, 117.783, 115.933
Mon Jan  9 15:27:50 EST 2017, 8931, 0.290, 1, 0.670, 356, 28, 16, 3, 45, 4.210, 3.797
Mon Jan  9 15:29:07 EST 2017, 3981, 0.790, 5, 0.170, 506, 73, 6, 28, 90, 74.070, 73.617
Mon Jan  9 15:29:11 EST 2017, 2744, 0.420, 4, 0.790, 319, 62, 4, 46, 11, 4.167, 4.163
Mon Jan  9 15:29:29 EST 2017, 7694, 0.920, 9, 0.290, 469, 17, 13, 21, 56, 17.530, 16.160
Mon Jan  9 15:31:23 EST 2017, 5219, 0.170, 6, 0.540, 544, 84, 18, 34, 33, 113.780, 103.507
Mon Jan  9 15:31:36 EST 2017, 269, 0.670, 2, 0.040, 394, 39, 8, 9, 78, 12.700, 12.967
Mon Jan  9 15:32:20 EST 2017, 346, 0.020, 6, 0.410, 499, 46, 14, 19, 50, 43.423, 40.020
Mon Jan  9 15:33:04 EST 2017, 5296, 0.520, 2, 0.910, 349, 91, 4, 44, 95, 43.727, 43.427
Mon Jan  9 15:33:08 EST 2017, 7771, 0.270, 4, 0.160, 424, 23, 9, 7, 27, 3.483, 3.097
Mon Jan  9 15:36:43 EST 2017, 2821, 0.770, 8, 0.660, 574, 68, 18, 32, 72, 207.763, 187.513
Mon Jan  9 15:37:02 EST 2017, 4059, 0.390, 1, 0.280, 387, 57, 11, 38, 38, 18.103, 17.840
Mon Jan  9 15:37:04 EST 2017, 9009, 0.890, 5, 0.780, 537, 12, 2, 13, 83, 2.433, 2.587
Mon Jan  9 15:37:19 EST 2017, 6534, 0.140, 7, 0.030, 462, 79, 7, 26, 16, 14.050, 13.263
Mon Jan  9 15:37:30 EST 2017, 1584, 0.640, 3, 0.530, 312, 34, 16, 1, 61, 10.663, 7.663
Mon Jan  9 15:37:51 EST 2017, 2202, 0.330, 9, 0.850, 368, 40, 12, 29, 33, 21.003, 19.720
Mon Jan  9 15:38:11 EST 2017, 7152, 0.830, 4, 0.350, 518, 85, 3, 4, 78, 17.437, 19.567
Mon Jan  9 15:38:14 EST 2017, 9627, 0.080, 2, 0.600, 593, 18, 8, 41, 10, 2.803, 2.673
Mon Jan  9 15:39:26 EST 2017, 4677, 0.580, 7, 0.100, 443, 63, 17, 16, 55, 68.927, 61.023
Mon Jan  9 15:39:58 EST 2017, 3440, 0.210, 3, 0.970, 556, 74, 10, 10, 44, 30.417, 25.770
Mon Jan  9 15:40:04 EST 2017, 8390, 0.710, 8, 0.470, 406, 29, 1, 35, 89, 5.263, 5.697
Mon Jan  9 15:40:14 EST 2017, 5915, 0.460, 6, 0.720, 331, 96, 5, 23, 21, 10.373, 10.503
