# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:57:23 EDT 2017, 0.900, 150, 20, 4, 23, 541, 9, 49, 0, 33, 75.770, 57.530
Sun Jul  2 10:57:25 EDT 2017, 0.650, 120, 23, 6, 28, 316, 4, 19, 22, 43, 2.610, 2.533
Sun Jul  2 10:58:08 EDT 2017, 0.150, 140, 28, 2, 17, 466, 14, 39, 7, 23, 42.093, 32.843
Sun Jul  2 10:58:46 EDT 2017, 0.210, 138, 24, 4, 13, 485, 15, 17, 17, 45, 37.900, 30.403
Sun Jul  2 10:58:49 EDT 2017, 0.710, 158, 29, 8, 24, 335, 5, 37, 2, 25, 3.507, 3.340
Sun Jul  2 10:58:50 EDT 2017, 0.960, 128, 27, 2, 19, 560, 1, 27, 24, 15, 0.310, 0.330
Sun Jul  2 10:59:54 EDT 2017, 0.460, 148, 22, 6, 8, 410, 10, 47, 9, 35, 63.990, 49.110
Sun Jul  2 11:00:02 EDT 2017, 0.330, 123, 28, 5, 22, 447, 17, 32, 21, 10, 7.503, 6.953
Sun Jul  2 11:00:05 EDT 2017, 0.830, 143, 23, 9, 11, 597, 8, 12, 6, 30, 2.803, 2.787
Sun Jul  2 11:00:12 EDT 2017, 0.580, 133, 21, 3, 16, 372, 3, 42, 28, 40, 7.257, 6.383
Sun Jul  2 11:00:20 EDT 2017, 0.080, 153, 26, 7, 27, 522, 13, 22, 13, 20, 8.037, 7.267
Sun Jul  2 11:00:23 EDT 2017, 0.120, 134, 29, 6, 21, 588, 7, 11, 12, 34, 2.213, 2.277
Sun Jul  2 11:00:36 EDT 2017, 0.620, 154, 24, 2, 10, 438, 17, 31, 27, 14, 13.347, 11.270
Sun Jul  2 11:00:48 EDT 2017, 0.870, 124, 22, 8, 15, 513, 12, 21, 5, 24, 11.753, 10.377
Sun Jul  2 11:00:51 EDT 2017, 0.370, 144, 27, 4, 26, 363, 2, 41, 20, 44, 3.070, 2.967
Sun Jul  2 11:01:13 EDT 2017, 0.490, 129, 23, 7, 18, 326, 10, 36, 8, 29, 21.957, 17.623
Sun Jul  2 11:02:07 EDT 2017, 0.990, 149, 28, 3, 29, 476, 19, 16, 23, 49, 53.150, 40.977
Sun Jul  2 11:04:24 EDT 2017, 0.740, 139, 25, 9, 24, 401, 14, 46, 1, 39, 137.143, 102.537
Sun Jul  2 11:04:27 EDT 2017, 0.240, 159, 20, 5, 13, 551, 5, 26, 16, 19, 2.313, 2.390
Sun Jul  2 11:04:56 EDT 2017, 0.180, 122, 26, 3, 8, 532, 6, 48, 10, 31, 28.887, 23.950
Sun Jul  2 11:05:01 EDT 2017, 0.680, 142, 21, 7, 19, 382, 15, 28, 25, 11, 4.900, 4.507
Sun Jul  2 11:05:22 EDT 2017, 0.930, 132, 24, 5, 25, 457, 11, 38, 3, 21, 21.287, 17.960
Sun Jul  2 11:05:23 EDT 2017, 0.430, 152, 29, 9, 14, 307, 1, 18, 18, 41, 0.273, 0.297
Sun Jul  2 11:05:29 EDT 2017, 0.300, 137, 20, 2, 28, 344, 8, 23, 14, 26, 6.077, 5.347
Sun Jul  2 11:10:52 EDT 2017, 0.800, 157, 25, 6, 17, 494, 18, 43, 29, 46, 322.420, 234.580
Sun Jul  2 11:11:01 EDT 2017, 0.550, 127, 27, 4, 11, 419, 13, 13, 7, 36, 9.357, 8.220
Sun Jul  2 11:11:03 EDT 2017, 0.050, 147, 22, 8, 22, 569, 4, 33, 22, 16, 1.887, 2.080
Sun Jul  2 11:11:47 EDT 2017, 0.040, 135, 26, 5, 16, 312, 12, 27, 6, 48, 43.250, 33.250
Sun Jul  2 11:11:49 EDT 2017, 0.540, 155, 21, 9, 27, 462, 2, 47, 21, 28, 2.267, 2.327
Sun Jul  2 11:11:51 EDT 2017, 0.790, 125, 24, 3, 22, 387, 7, 17, 14, 18, 1.517, 1.517
Sun Jul  2 11:13:59 EDT 2017, 0.290, 145, 29, 7, 11, 537, 16, 37, 29, 38, 127.557, 99.457
Sun Jul  2 11:14:25 EDT 2017, 0.410, 120, 20, 4, 19, 574, 14, 42, 2, 13, 26.367, 22.087
Sun Jul  2 11:14:28 EDT 2017, 0.910, 140, 25, 8, 8, 424, 4, 22, 17, 33, 2.313, 2.327
Sun Jul  2 11:15:15 EDT 2017, 0.660, 130, 28, 2, 14, 499, 9, 32, 10, 43, 47.113, 37.120
Sun Jul  2 11:15:20 EDT 2017, 0.160, 150, 23, 6, 25, 349, 19, 12, 25, 23, 4.950, 4.620
