# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Wed May 17 15:00:26 EDT 2017, 0.550, 4, 6, 0.460, 8, 1, 20, 442, 68, 1, 16, 97, 6.460, 6.557
Wed May 17 15:00:54 EDT 2017, 0.050, 9, 1, 0.960, 3, 6, 65, 592, 23, 10, 41, 52, 27.963, 26.513
Wed May 17 15:01:08 EDT 2017, 0.030, 2, 9, 0.350, 5, 5, 21, 335, 69, 7, 30, 73, 13.310, 13.397
Wed May 17 15:01:18 EDT 2017, 0.530, 6, 4, 0.850, 1, 9, 66, 485, 24, 16, 5, 28, 9.250, 8.973
Wed May 17 15:02:26 EDT 2017, 0.780, 4, 2, 0.100, 3, 3, 89, 410, 92, 11, 42, 51, 66.890, 67.937
Wed May 17 15:02:36 EDT 2017, 0.280, 8, 7, 0.600, 7, 7, 44, 560, 47, 2, 17, 96, 9.047, 8.923
Wed May 17 15:02:51 EDT 2017, 0.410, 3, 3, 0.470, 4, 6, 10, 522, 58, 14, 48, 17, 14.670, 14.257
Wed May 17 15:02:53 EDT 2017, 0.910, 7, 8, 0.970, 8, 1, 55, 372, 13, 4, 23, 62, 1.747, 1.790
Wed May 17 15:03:59 EDT 2017, 0.660, 1, 5, 0.220, 6, 8, 78, 597, 81, 9, 36, 85, 61.753, 64.790
Wed May 17 15:04:45 EDT 2017, 0.160, 5, 1, 0.720, 2, 4, 33, 447, 36, 18, 11, 40, 44.600, 42.293
Wed May 17 15:04:57 EDT 2017, 0.220, 5, 7, 0.910, 1, 3, 27, 578, 64, 5, 8, 45, 11.937, 11.807
Wed May 17 15:05:21 EDT 2017, 0.720, 9, 3, 0.410, 6, 8, 72, 428, 19, 15, 33, 90, 23.667, 23.367
Wed May 17 15:06:13 EDT 2017, 0.970, 2, 5, 0.660, 8, 1, 95, 503, 86, 10, 20, 68, 48.760, 50.670
Wed May 17 15:06:14 EDT 2017, 0.470, 7, 9, 0.160, 3, 5, 50, 353, 41, 1, 45, 23, 0.643, 0.700
Wed May 17 15:07:57 EDT 2017, 0.350, 1, 2, 0.780, 9, 6, 16, 391, 75, 13, 14, 79, 102.473, 101.127
Wed May 17 15:08:00 EDT 2017, 0.850, 6, 6, 0.280, 5, 2, 61, 541, 30, 3, 39, 34, 2.767, 2.760
Wed May 17 15:08:04 EDT 2017, 0.600, 3, 8, 0.530, 2, 9, 83, 316, 97, 8, 1, 12, 3.603, 3.613
Wed May 17 15:08:48 EDT 2017, 0.100, 8, 4, 0.030, 7, 4, 38, 466, 52, 17, 26, 57, 43.670, 44.207
Wed May 17 15:09:06 EDT 2017, 0.070, 4, 2, 0.190, 8, 2, 69, 532, 44, 5, 47, 48, 18.003, 17.710
Wed May 17 15:10:08 EDT 2017, 0.570, 8, 7, 0.690, 3, 6, 24, 382, 89, 14, 22, 93, 60.910, 59.600
Wed May 17 15:10:20 EDT 2017, 0.820, 1, 9, 0.440, 1, 4, 47, 457, 21, 19, 34, 71, 11.927, 11.677
Wed May 17 15:10:29 EDT 2017, 0.320, 6, 5, 0.940, 5, 8, 92, 307, 66, 10, 9, 26, 8.403, 8.413
Wed May 17 15:10:56 EDT 2017, 0.440, 3, 6, 0.070, 2, 7, 58, 419, 33, 17, 28, 82, 26.597, 25.587
Wed May 17 15:11:46 EDT 2017, 0.940, 7, 1, 0.570, 6, 3, 13, 569, 78, 7, 3, 37, 48.387, 47.563
Wed May 17 15:11:46 EDT 2017, 0.690, 5, 4, 0.320, 9, 5, 36, 344, 10, 2, 41, 14, 0.400, 0.433
Wed May 17 15:12:11 EDT 2017, 0.190, 9, 8, 0.820, 4, 1, 81, 494, 55, 12, 16, 59, 23.720, 24.270
Wed May 17 15:12:21 EDT 2017, 0.130, 1, 4, 0.500, 4, 1, 75, 363, 38, 4, 12, 76, 9.643, 9.687
Wed May 17 15:12:39 EDT 2017, 0.630, 5, 9, 0.000, 8, 6, 30, 513, 83, 13, 37, 31, 17.313, 16.937
Wed May 17 15:12:48 EDT 2017, 0.880, 3, 6, 0.750, 6, 3, 52, 438, 16, 18, 0, 54, 8.707, 8.540
Wed May 17 15:14:34 EDT 2017, 0.380, 8, 2, 0.250, 1, 8, 97, 588, 61, 8, 25, 99, 104.777, 101.870
Wed May 17 15:14:42 EDT 2017, 0.250, 4, 7, 0.630, 7, 9, 64, 475, 50, 15, 6, 20, 8.410, 8.453
Wed May 17 15:15:13 EDT 2017, 0.750, 9, 3, 0.130, 3, 5, 19, 325, 95, 6, 31, 65, 29.600, 30.293
Wed May 17 15:15:21 EDT 2017, 0.500, 2, 1, 0.880, 5, 7, 41, 550, 27, 1, 19, 88, 7.370, 7.613
Wed May 17 15:15:44 EDT 2017, 0.000, 6, 5, 0.380, 9, 2, 86, 400, 72, 11, 44, 43, 22.053, 21.497
Wed May 17 15:15:57 EDT 2017, 0.010, 3, 8, 0.940, 5, 4, 51, 446, 75, 11, 28, 32, 13.297, 13.073
Wed May 17 15:16:06 EDT 2017, 0.510, 8, 3, 0.440, 9, 9, 96, 596, 30, 2, 3, 77, 8.643, 8.657
Wed May 17 15:18:44 EDT 2017, 0.760, 1, 1, 0.690, 7, 2, 74, 371, 98, 7, 40, 99, 151.343, 151.463
Wed May 17 15:19:23 EDT 2017, 0.260, 6, 5, 0.190, 2, 7, 29, 521, 53, 16, 15, 54, 39.353, 36.937
Wed May 17 15:20:04 EDT 2017, 0.380, 2, 4, 0.810, 6, 5, 40, 558, 64, 9, 47, 65, 40.013, 39.877
Wed May 17 15:20:07 EDT 2017, 0.880, 7, 9, 0.310, 1, 1, 85, 408, 19, 19, 22, 20, 2.817, 2.743
Wed May 17 15:20:43 EDT 2017, 0.630, 5, 6, 0.560, 4, 8, 63, 483, 86, 14, 34, 43, 35.543, 34.790
Wed May 17 15:21:01 EDT 2017, 0.130, 9, 2, 0.060, 8, 3, 18, 333, 41, 4, 9, 88, 17.180, 17.590
Wed May 17 15:21:40 EDT 2017, 0.190, 1, 6, 0.250, 9, 4, 46, 465, 58, 10, 6, 94, 37.113, 35.750
Wed May 17 15:21:41 EDT 2017, 0.690, 5, 1, 0.750, 4, 8, 91, 315, 13, 1, 31, 49, 1.477, 1.500
Wed May 17 15:21:54 EDT 2017, 0.940, 3, 4, 0.000, 2, 1, 68, 540, 81, 5, 18, 26, 11.660, 11.907
Wed May 17 15:22:11 EDT 2017, 0.440, 7, 8, 0.500, 6, 6, 23, 390, 36, 15, 43, 71, 16.650, 17.087
Wed May 17 15:22:29 EDT 2017, 0.320, 4, 3, 0.370, 1, 7, 34, 352, 70, 8, 12, 37, 16.993, 16.713
Wed May 17 15:22:50 EDT 2017, 0.820, 9, 7, 0.870, 5, 3, 79, 502, 25, 17, 37, 82, 21.033, 20.833
Wed May 17 15:23:23 EDT 2017, 0.570, 2, 9, 0.120, 7, 9, 57, 427, 92, 13, 0, 60, 31.480, 31.453
Wed May 17 15:23:25 EDT 2017, 0.070, 6, 5, 0.620, 3, 5, 12, 577, 47, 3, 25, 15, 2.273, 2.300
Wed May 17 15:27:36 EDT 2017, 0.100, 2, 1, 0.590, 3, 2, 99, 493, 50, 19, 48, 91, 240.667, 247.703
Wed May 17 15:27:59 EDT 2017, 0.600, 7, 6, 0.090, 7, 7, 54, 343, 95, 10, 23, 46, 22.623, 23.023
Wed May 17 15:28:02 EDT 2017, 0.850, 4, 8, 0.840, 9, 5, 32, 568, 27, 5, 36, 23, 2.093, 2.200
