# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 16:05:18 EST 2017, 5443, 0.940, 9, 0.730, 395, 48, 1, 22, 53, 3.810, 4.117
Mon Jan  9 16:06:03 EST 2017, 7918, 0.190, 7, 0.480, 320, 71, 6, 34, 76, 44.743, 43.750
Mon Jan  9 16:06:10 EST 2017, 2968, 0.690, 2, 0.980, 470, 26, 15, 9, 31, 6.830, 5.710
Mon Jan  9 16:06:25 EST 2017, 4206, 0.070, 8, 0.110, 358, 14, 13, 16, 87, 14.410, 12.983
Mon Jan  9 16:06:42 EST 2017, 9156, 0.570, 4, 0.610, 508, 59, 3, 41, 42, 17.157, 17.177
Mon Jan  9 16:06:51 EST 2017, 6681, 0.320, 1, 0.360, 583, 37, 8, 3, 65, 7.713, 8.010
Mon Jan  9 16:07:36 EST 2017, 1731, 0.820, 6, 0.860, 433, 82, 18, 28, 20, 44.393, 41.057
Mon Jan  9 16:08:10 EST 2017, 2350, 0.130, 2, 0.550, 376, 88, 12, 0, 82, 33.557, 24.177
Mon Jan  9 16:08:17 EST 2017, 7300, 0.630, 6, 0.050, 526, 43, 2, 25, 37, 6.170, 6.477
Mon Jan  9 16:08:45 EST 2017, 9775, 0.380, 9, 0.800, 451, 65, 7, 12, 59, 27.893, 25.500
Mon Jan  9 16:08:50 EST 2017, 4825, 0.880, 4, 0.300, 301, 20, 16, 37, 14, 5.313, 5.077
Mon Jan  9 16:10:07 EST 2017, 3587, 0.250, 5, 0.670, 489, 31, 14, 31, 93, 74.993, 68.617
Mon Jan  9 16:10:13 EST 2017, 8537, 0.750, 1, 0.170, 339, 76, 4, 6, 48, 4.527, 5.333
Mon Jan  9 16:11:13 EST 2017, 6062, 0.000, 3, 0.920, 414, 54, 9, 44, 70, 59.043, 55.773
Mon Jan  9 16:12:30 EST 2017, 1112, 0.500, 8, 0.420, 564, 99, 19, 19, 25, 75.723, 68.773
Mon Jan  9 16:12:35 EST 2017, 803, 0.040, 7, 0.330, 479, 74, 2, 8, 28, 4.247, 4.713
Mon Jan  9 16:12:56 EST 2017, 5753, 0.540, 2, 0.830, 329, 29, 11, 33, 73, 20.803, 19.467
Mon Jan  9 16:14:27 EST 2017, 8228, 0.290, 4, 0.080, 404, 96, 16, 20, 51, 91.207, 77.307
Mon Jan  9 16:15:57 EST 2017, 3278, 0.790, 9, 0.580, 554, 51, 6, 45, 96, 88.753, 85.813
Mon Jan  9 16:15:59 EST 2017, 4515, 0.410, 1, 0.450, 442, 40, 4, 26, 17, 1.880, 1.970
Mon Jan  9 16:17:03 EST 2017, 9465, 0.910, 6, 0.950, 592, 85, 13, 1, 62, 60.377, 33.097
Mon Jan  9 16:17:32 EST 2017, 6990, 0.160, 8, 0.200, 517, 17, 18, 39, 39, 28.373, 26.893
Mon Jan  9 16:18:08 EST 2017, 2040, 0.660, 3, 0.700, 367, 62, 9, 14, 84, 35.410, 31.567
Mon Jan  9 16:18:11 EST 2017, 1422, 0.350, 9, 0.890, 311, 57, 3, 42, 11, 2.957, 3.010
Mon Jan  9 16:18:20 EST 2017, 6372, 0.850, 5, 0.390, 461, 12, 12, 17, 56, 8.943, 8.167
Mon Jan  9 16:19:36 EST 2017, 8847, 0.100, 3, 0.640, 536, 79, 17, 30, 34, 76.233, 70.177
Mon Jan  9 16:19:48 EST 2017, 3897, 0.600, 7, 0.140, 386, 34, 7, 5, 79, 11.637, 10.917
Mon Jan  9 16:19:57 EST 2017, 2659, 0.220, 4, 0.770, 573, 45, 5, 23, 22, 7.973, 7.577
Mon Jan  9 16:23:40 EST 2017, 7609, 0.720, 8, 0.270, 423, 90, 15, 48, 67, 219.353, 202.943
Mon Jan  9 16:23:53 EST 2017, 5134, 0.470, 6, 0.520, 348, 23, 19, 11, 45, 13.347, 11.793
Mon Jan  9 16:25:24 EST 2017, 184, 0.970, 2, 0.020, 498, 68, 10, 36, 90, 89.300, 88.590
Mon Jan  9 16:28:00 EST 2017, 223, 0.020, 3, 0.580, 342, 99, 16, 28, 93, 151.207, 141.413
Mon Jan  9 16:28:13 EST 2017, 5173, 0.520, 8, 0.080, 492, 54, 6, 3, 48, 12.247, 10.900
Mon Jan  9 16:28:46 EST 2017, 7648, 0.270, 6, 0.830, 567, 77, 2, 40, 71, 31.170, 32.550
Mon Jan  9 16:28:50 EST 2017, 2698, 0.770, 1, 0.330, 417, 32, 11, 15, 26, 3.860, 3.733
Mon Jan  9 16:29:20 EST 2017, 3935, 0.390, 9, 0.710, 530, 20, 18, 9, 82, 29.410, 24.147
Mon Jan  9 16:29:52 EST 2017, 8885, 0.890, 4, 0.210, 380, 65, 9, 34, 37, 31.413, 29.743
Mon Jan  9 16:29:59 EST 2017, 6410, 0.140, 2, 0.960, 305, 43, 4, 22, 59, 6.933, 6.803
Mon Jan  9 16:30:41 EST 2017, 1460, 0.640, 7, 0.460, 455, 88, 14, 47, 14, 41.210, 39.497
Mon Jan  9 16:31:51 EST 2017, 2079, 0.330, 1, 0.140, 511, 82, 15, 18, 87, 67.783, 67.903
Mon Jan  9 16:32:05 EST 2017, 7029, 0.830, 5, 0.640, 361, 37, 5, 43, 42, 13.720, 13.187
Mon Jan  9 16:32:10 EST 2017, 9504, 0.080, 7, 0.390, 436, 60, 1, 6, 65, 3.840, 5.117
Mon Jan  9 16:32:16 EST 2017, 4554, 0.580, 3, 0.890, 586, 15, 10, 31, 20, 5.307, 4.947
Mon Jan  9 16:33:44 EST 2017, 3317, 0.200, 6, 0.020, 399, 26, 17, 37, 99, 76.323, 77.480
Mon Jan  9 16:34:10 EST 2017, 8267, 0.700, 2, 0.520, 549, 71, 8, 12, 54, 25.773, 25.133
Mon Jan  9 16:34:29 EST 2017, 5792, 0.450, 4, 0.270, 474, 49, 3, 25, 76, 17.260, 18.273
Mon Jan  9 16:34:42 EST 2017, 842, 0.950, 8, 0.770, 324, 94, 12, 0, 31, 12.380, 9.380
Mon Jan  9 16:34:53 EST 2017, 1151, 0.480, 5, 0.990, 427, 68, 7, 14, 23, 10.443, 9.233
Mon Jan  9 16:35:23 EST 2017, 6101, 0.980, 1, 0.490, 577, 23, 17, 39, 68, 29.300, 28.523
Mon Jan  9 16:35:53 EST 2017, 8576, 0.230, 3, 0.740, 502, 91, 12, 1, 45, 29.067, 22.127
Mon Jan  9 16:36:06 EST 2017, 3626, 0.730, 8, 0.240, 352, 46, 2, 26, 90, 11.733, 12.730
Mon Jan  9 16:36:12 EST 2017, 4863, 0.110, 2, 0.860, 464, 35, 9, 45, 12, 6.010, 5.830
Mon Jan  9 16:37:37 EST 2017, 9813, 0.610, 6, 0.360, 314, 80, 19, 20, 57, 84.113, 70.977
Mon Jan  9 16:37:46 EST 2017, 7338, 0.360, 9, 0.610, 389, 12, 14, 33, 34, 9.003, 8.563
Mon Jan  9 16:38:10 EST 2017, 2388, 0.860, 4, 0.110, 539, 57, 5, 8, 79, 22.703, 22.490
Mon Jan  9 16:38:27 EST 2017, 1770, 0.170, 8, 0.300, 595, 63, 6, 36, 17, 16.483, 16.013
Mon Jan  9 16:38:40 EST 2017, 6720, 0.670, 4, 0.800, 445, 18, 15, 11, 62, 12.613, 11.407
Mon Jan  9 16:39:13 EST 2017, 9195, 0.420, 1, 0.050, 370, 85, 11, 48, 40, 31.700, 32.650
Mon Jan  9 16:39:21 EST 2017, 4245, 0.920, 6, 0.550, 520, 40, 1, 23, 85, 6.667, 7.530
Mon Jan  9 16:39:26 EST 2017, 3007, 0.300, 5, 0.430, 333, 51, 8, 4, 28, 5.207, 4.583
Mon Jan  9 16:43:33 EST 2017, 7957, 0.800, 9, 0.930, 483, 96, 18, 29, 73, 245.307, 207.080
Mon Jan  9 16:44:01 EST 2017, 5482, 0.050, 7, 0.180, 558, 29, 13, 17, 51, 28.080, 25.137
Mon Jan  9 16:44:43 EST 2017, 532, 0.550, 2, 0.680, 408, 74, 4, 42, 96, 40.047, 41.160
Mon Jan  9 16:45:09 EST 2017, 687, 0.250, 8, 0.000, 469, 42, 12, 11, 52, 24.837, 23.000
Mon Jan  9 16:45:33 EST 2017, 5637, 0.750, 3, 0.500, 319, 87, 2, 36, 97, 21.427, 23.513
Mon Jan  9 16:45:35 EST 2017, 8112, 0.000, 1, 0.250, 394, 19, 7, 24, 30, 2.320, 2.277
Mon Jan  9 16:49:23 EST 2017, 3162, 0.500, 5, 0.750, 544, 64, 16, 49, 75, 221.793, 207.853
Mon Jan  9 16:50:30 EST 2017, 4399, 0.130, 4, 0.130, 431, 75, 14, 30, 41, 66.353, 59.943
