# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 23:25:22 EDT 2017, 0.870, 145, 21, 5, 12, 486, 10, 10, 22, 47, 6.850, 1.880
Sun Jul  2 23:27:20 EDT 2017, 0.620, 135, 23, 7, 17, 411, 15, 40, 14, 37, 117.007, 5.923
Sun Jul  2 23:27:22 EDT 2017, 0.120, 155, 28, 3, 28, 561, 5, 20, 29, 17, 1.163, 1.017
Sun Jul  2 23:27:37 EDT 2017, 0.080, 136, 25, 2, 19, 476, 14, 11, 27, 48, 15.257, 2.240
Sun Jul  2 23:27:41 EDT 2017, 0.580, 156, 20, 6, 8, 326, 5, 31, 12, 28, 4.043, 1.677
Sun Jul  2 23:27:47 EDT 2017, 0.830, 126, 23, 4, 14, 551, 10, 21, 19, 18, 5.390, 1.707
Sun Jul  2 23:30:33 EDT 2017, 0.330, 146, 28, 8, 25, 401, 19, 41, 4, 38, 165.933, 6.320
Sun Jul  2 23:30:44 EDT 2017, 0.460, 121, 21, 3, 17, 439, 12, 36, 23, 13, 10.633, 2.117
Sun Jul  2 23:30:45 EDT 2017, 0.960, 141, 26, 7, 28, 589, 3, 16, 8, 33, 1.170, 0.973
Sun Jul  2 23:31:24 EDT 2017, 0.710, 131, 29, 5, 22, 364, 7, 46, 15, 43, 38.143, 4.010
Sun Jul  2 23:31:48 EDT 2017, 0.210, 151, 24, 9, 11, 514, 17, 26, 0, 23, 24.007, 2.847
Sun Jul  2 23:35:37 EDT 2017, 0.150, 128, 28, 7, 10, 495, 13, 48, 25, 46, 228.660, 8.933
Sun Jul  2 23:35:39 EDT 2017, 0.650, 148, 23, 3, 21, 345, 4, 28, 10, 26, 2.127, 1.180
Sun Jul  2 23:35:47 EDT 2017, 0.900, 138, 21, 9, 26, 570, 8, 38, 17, 16, 7.650, 2.067
Sun Jul  2 23:36:14 EDT 2017, 0.400, 158, 26, 5, 15, 420, 18, 18, 2, 36, 26.643, 3.233
Sun Jul  2 23:36:16 EDT 2017, 0.270, 133, 24, 6, 29, 383, 11, 23, 28, 11, 1.840, 0.853
Sun Jul  2 23:36:17 EDT 2017, 0.770, 153, 29, 2, 18, 533, 1, 43, 13, 31, 0.993, 1.037
Sun Jul  2 23:36:19 EDT 2017, 0.520, 123, 27, 8, 13, 308, 6, 13, 21, 41, 1.987, 0.823
Sun Jul  2 23:36:52 EDT 2017, 0.020, 143, 22, 4, 24, 458, 16, 33, 6, 21, 32.950, 3.227
Sun Jul  2 23:36:57 EDT 2017, 0.010, 127, 27, 3, 13, 512, 2, 42, 15, 42, 4.470, 2.037
Sun Jul  2 23:37:03 EDT 2017, 0.510, 147, 22, 7, 24, 362, 11, 22, 0, 22, 5.567, 1.430
Sun Jul  2 23:37:15 EDT 2017, 0.760, 137, 24, 5, 19, 587, 16, 32, 23, 12, 12.280, 2.123
Sun Jul  2 23:37:17 EDT 2017, 0.260, 157, 29, 9, 8, 437, 7, 12, 8, 32, 1.347, 1.060
Sun Jul  2 23:37:18 EDT 2017, 0.390, 132, 21, 2, 21, 399, 4, 27, 19, 17, 1.373, 0.913
Sun Jul  2 23:40:01 EDT 2017, 0.890, 152, 26, 6, 10, 549, 14, 47, 4, 37, 163.100, 8.220
Sun Jul  2 23:40:42 EDT 2017, 0.640, 122, 28, 4, 16, 324, 18, 17, 26, 47, 40.057, 2.853
Sun Jul  2 23:41:02 EDT 2017, 0.140, 142, 23, 8, 27, 474, 9, 37, 11, 27, 20.257, 3.060
Sun Jul  2 23:41:03 EDT 2017, 0.200, 135, 29, 6, 25, 455, 1, 19, 21, 44, 0.577, 0.733
Sun Jul  2 23:41:18 EDT 2017, 0.700, 155, 24, 2, 14, 305, 10, 39, 6, 24, 15.110, 2.297
Sun Jul  2 23:41:30 EDT 2017, 0.950, 125, 21, 8, 9, 530, 15, 29, 28, 14, 11.937, 2.160
Sun Jul  2 23:41:45 EDT 2017, 0.450, 145, 26, 4, 20, 380, 5, 49, 13, 34, 14.273, 2.733
Sun Jul  2 23:41:46 EDT 2017, 0.330, 120, 22, 7, 12, 418, 3, 34, 17, 19, 1.390, 0.953
Sun Jul  2 23:41:59 EDT 2017, 0.830, 140, 27, 3, 23, 568, 12, 14, 2, 39, 12.743, 2.340
Sun Jul  2 23:46:27 EDT 2017, 0.580, 130, 25, 9, 28, 343, 17, 44, 24, 49, 266.667, 7.350
Sun Jul  2 23:46:36 EDT 2017, 0.080, 150, 20, 5, 17, 493, 8, 24, 9, 29, 9.363, 2.320
Sun Jul  2 23:46:47 EDT 2017, 0.110, 131, 23, 4, 8, 577, 12, 13, 9, 35, 10.860, 2.223
