# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 11:18:25 EDT 2017, 0.730, 122, 24, 9, 10, 472, 3, 20, 2, 44, 2.203, 0.770
Mon Jul  3 11:18:46 EDT 2017, 0.230, 142, 29, 5, 21, 322, 12, 40, 17, 24, 20.300, 1.787
Mon Jul  3 11:19:59 EDT 2017, 0.160, 139, 22, 3, 23, 303, 18, 23, 7, 46, 72.890, 2.767
Mon Jul  3 11:20:19 EDT 2017, 0.660, 159, 27, 7, 12, 453, 9, 43, 22, 26, 19.903, 2.217
Mon Jul  3 11:20:20 EDT 2017, 0.910, 129, 25, 5, 17, 378, 4, 13, 0, 16, 0.297, 0.300
Mon Jul  3 11:21:28 EDT 2017, 0.410, 149, 20, 9, 28, 528, 13, 33, 15, 36, 67.820, 3.790
Mon Jul  3 11:21:52 EDT 2017, 0.290, 124, 28, 2, 14, 566, 16, 48, 11, 11, 24.083, 2.160
Mon Jul  3 11:21:58 EDT 2017, 0.790, 144, 23, 6, 25, 416, 6, 28, 26, 31, 6.360, 1.250
Mon Jul  3 11:22:02 EDT 2017, 0.540, 134, 21, 4, 20, 491, 2, 38, 4, 41, 3.830, 1.143
Mon Jul  3 11:22:05 EDT 2017, 0.040, 154, 26, 8, 9, 341, 11, 18, 19, 21, 2.620, 0.740
Mon Jul  3 11:22:18 EDT 2017, 0.050, 122, 23, 5, 24, 542, 4, 42, 5, 34, 12.403, 1.923
Mon Jul  3 11:22:21 EDT 2017, 0.550, 142, 28, 9, 13, 392, 14, 22, 20, 14, 3.260, 0.843
Mon Jul  3 11:23:22 EDT 2017, 0.800, 132, 25, 3, 8, 467, 19, 32, 13, 24, 60.757, 3.140
Mon Jul  3 11:23:26 EDT 2017, 0.300, 152, 20, 7, 19, 317, 9, 12, 28, 44, 4.100, 1.017
Mon Jul  3 11:23:27 EDT 2017, 0.430, 137, 29, 4, 11, 355, 2, 27, 1, 29, 0.860, 0.580
Mon Jul  3 11:26:04 EDT 2017, 0.930, 157, 24, 8, 22, 505, 11, 47, 16, 49, 156.273, 5.687
Mon Jul  3 11:26:39 EDT 2017, 0.680, 127, 22, 2, 27, 430, 16, 17, 9, 39, 35.153, 2.370
Mon Jul  3 11:26:46 EDT 2017, 0.180, 147, 27, 6, 16, 580, 7, 37, 24, 19, 6.790, 1.343
