# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph4,10,0,5,34.625,34.1357,35.1143,28.744,28.0842,29.4038,32.729,31.4826,33.9754,28.406,28.0541,28.7579,30.233,29.6188,30.8472,29.921,28.6562,31.1858
ph4,1,0.25,5,18.606,18.2719,18.9401,17.368,17.004,17.732,20.087,19.187,20.987,18.694,18.4268,18.9612,15.413,15.2051,15.6209,15.923,15.7054,16.1406
ph4,2,0.25,5,26.801,26.374,27.228,22.4,21.814,22.986,26.547,26.1936,26.9004,23.425,23.0656,23.7844,22.308,21.9024,22.7136,22.595,22.1072,23.0828
ph4,5,0.25,5,33.317,32.5371,34.0969,26.89,26.3782,27.4018,32.353,31.6749,33.0311,27.059,26.5709,27.5471,30.258,29.361,31.155,29.652,27.7779,31.5261
ph4,10,0.25,5,34.434,33.2189,35.6491,27.891,27.4431,28.3389,32.115,30.7755,33.4545,28.054,27.6164,28.4916,30.486,29.2041,31.7679,28.967,27.1896,30.7444
ph4,1,0,10,32.961,31.8999,34.0221,27.817,27.4124,28.2216,32.846,31.8343,33.8577,28.123,27.6881,28.5579,27.434,25.9157,28.9523,29.705,28.4636,30.9464
ph4,2,0,10,50.555,49.6607,51.4493,35.422,34.9623,35.8817,41.671,40.9906,42.3514,34.182,33.6344,34.7296,44.329,42.4899,46.1681,45.56,44.3049,46.8151
ph4,5,0,10,68.573,65.9519,71.1941,43.923,43.2542,44.5918,48.739,47.8047,49.6733,39.421,38.1425,40.6995,60.556,57.6202,63.4918,62.83,60.3947,65.2653
ph4,10,0,10,70.858,67.9491,73.7669,44.464,43.3096,45.6184,49.564,47.6087,51.5193,40.75,39.3028,42.1972,60.792,59.8248,61.7592,62.128,60.9755,63.2805
ph4,1,0.25,10,34.612,33.433,35.791,26.074,24.9835,27.1645,31.627,30.3355,32.9185,26.944,25.9651,27.9229,27.092,25.3703,28.8137,28.895,27.4345,30.3555
