# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 20:15:02 EST 2016, 1, 0.000, 4, 1.402, 0.0936803, 1.336, 1.468, 1.24, 1.35, 1.45, 1.49, 1.52, 39624, 10.7331, 39616.4, 39631.6, 39616, 39616, 39624, 39632, 39648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 413569, 0, 413569, 413569, 413569, 413569, 413569, 413569, 413569, 786497, 0, 786497, 786497, 786497, 786497, 786497, 786497, 786497
Fri Dec 30 20:16:03 EST 2016, 2, 0.000, 4, 1.807, 0.132216, 1.71385, 1.90015, 1.62, 1.65, 1.875, 1.90, 2.05, 40950.4, 7.83837, 40944.9, 40955.9, 40944, 40944, 40952, 40960, 40960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478222, 0, 478222, 478222, 478222, 478222, 478222, 478222, 478222, 1261482, 0, 1261482, 1261482, 1261482, 1261482, 1261482, 1261482, 1261482
Fri Dec 30 20:17:09 EST 2016, 4, 0.000, 4, 2.087, 0.239919, 1.91796, 2.25604, 1.62, 2.10, 2.16, 2.35, 2.35, 42320, 30.3579, 42298.6, 42341.4, 42256, 42320, 42336, 42352, 42352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497252, 0, 497252, 497252, 497252, 497252, 497252, 497252, 497252, 1724273, 0, 1724273, 1724273, 1724273, 1724273, 1724273, 1724273, 1724273
Fri Dec 30 20:18:11 EST 2016, 8, 0.000, 4, 2.127, 0.121988, 2.04105, 2.21295, 1.86, 2.08, 2.175, 2.25, 2.26, 42952, 10.7331, 42944.4, 42959.6, 42944, 42944, 42952, 42960, 42976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498990, 0, 498990, 498990, 498990, 498990, 498990, 498990, 498990, 1956135, 0, 1956135, 1956135, 1956135, 1956135, 1956135, 1956135, 1956135
Fri Dec 30 20:19:12 EST 2016, 0, 0.250, 4, 2.042, 0.254079, 1.86299, 2.22101, 1.77, 1.84, 1.995, 2.48, 2.50, 40676.8, 7.33212, 40671.6, 40682, 40672, 40672, 40672, 40688, 40688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498478, 0, 498478, 498478, 498478, 498478, 498478, 498478, 498478, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
Fri Dec 30 20:20:13 EST 2016, 1, 0.250, 4, 1.306, 0.132, 1.213, 1.399, 1.13, 1.17, 1.325, 1.49, 1.56, 38419.2, 6.4, 38414.7, 38423.7, 38416, 38416, 38416, 38432, 38432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412834, 0, 412834, 412834, 412834, 412834, 412834, 412834, 412834, 786198, 0, 786198, 786198, 786198, 786198, 786198, 786198, 786198
Fri Dec 30 20:21:15 EST 2016, 2, 0.250, 4, 1.709, 0.216446, 1.5565, 1.8615, 1.58, 1.59, 1.615, 2.11, 2.17, 39396.8, 7.33212, 39391.6, 39402, 39392, 39392, 39392, 39408, 39408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 476407, 0, 476407, 476407, 476407, 476407, 476407, 476407, 476407, 1261486, 0, 1261486, 1261486, 1261486, 1261486, 1261486, 1261486, 1261486
Fri Dec 30 20:22:21 EST 2016, 4, 0.250, 4, 2.063, 0.166736, 1.94553, 2.18047, 1.70, 1.96, 2.175, 2.25, 2.25, 40385.6, 18.1725, 40372.8, 40398.4, 40336, 40384, 40392, 40400, 40400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 495459, 0, 495459, 495459, 495459, 495459, 495459, 495459, 495459, 1724246, 0, 1724246, 1724246, 1724246, 1724246, 1724246, 1724246, 1724246
Fri Dec 30 20:23:22 EST 2016, 8, 0.250, 4, 2.189, 0.126369, 2.09997, 2.27803, 2.02, 2.08, 2.195, 2.34, 2.42, 40900.8, 7.33212, 40895.6, 40906, 40896, 40896, 40896, 40912, 40912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498276, 0, 498276, 498276, 498276, 498276, 498276, 498276, 498276, 1956141, 0, 1956141, 1956141, 1956141, 1956141, 1956141, 1956141, 1956141
Fri Dec 30 20:24:23 EST 2016, 0, 0.500, 4, 1.869, 0.0582151, 1.82798, 1.91002, 1.81, 1.83, 1.87, 1.91, 2.01, 39928, 10.7331, 39920.4, 39935.6, 39920, 39920, 39928, 39936, 39952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497644, 0, 497644, 497644, 497644, 497644, 497644, 497644, 497644, 1992000, 0, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000, 1992000
