# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 19:04:14 EST 2017, 6140, 0.390, 2, 0.130, 402, 66, 2, 15, 61, 2.817, 3.177
Tue Jan 10 19:06:25 EST 2017, 1190, 0.890, 8, 0.630, 552, 21, 11, 40, 16, 0.087, 5.573
Tue Jan 10 19:08:26 EST 2017, 880, 0.420, 10, 0.600, 505, 46, 9, 29, 13, 3.933, 4.037
Tue Jan 10 19:10:22 EST 2017, 5830, 0.920, 4, 0.100, 355, 91, 18, 4, 58, 60.333, 36.253
Tue Jan 10 19:12:28 EST 2017, 8305, 0.170, 1, 0.850, 430, 24, 13, 42, 36, 3.150, 3.117
Tue Jan 10 19:14:48 EST 2017, 3355, 0.670, 7, 0.350, 580, 69, 4, 17, 81, 18.030, 19.550
Tue Jan 10 19:16:34 EST 2017, 4593, 0.040, 5, 0.730, 393, 57, 6, 10, 25, 1.867, 1.760
Tue Jan 10 19:18:50 EST 2017, 9543, 0.540, 11, 0.230, 543, 12, 16, 35, 70, 15.977, 15.990
Tue Jan 10 19:22:01 EST 2017, 7068, 0.290, 8, 0.980, 468, 80, 11, 23, 47, 20.457, 18.060
Tue Jan 10 19:24:47 EST 2017, 2118, 0.790, 2, 0.480, 318, 35, 1, 48, 92, 2.660, 2.450
Tue Jan 10 19:26:53 EST 2017, 1499, 0.230, 6, 0.160, 374, 41, 10, 20, 30, 5.200, 5.133
Tue Jan 10 19:31:34 EST 2017, 6449, 0.730, 0, 0.660, 524, 86, 19, 45, 75, 163.373, 145.397
Tue Jan 10 19:34:25 EST 2017, 8924, 0.480, 3, 0.410, 599, 18, 14, 7, 53, 9.260, 7.307
Tue Jan 10 19:35:46 EST 2017, 3974, 0.980, 9, 0.910, 449, 63, 5, 32, 98, 30.487, 28.127
Tue Jan 10 19:38:32 EST 2017, 2736, 0.360, 2, 0.040, 561, 74, 7, 39, 19, 10.617, 9.820
Tue Jan 10 19:40:43 EST 2017, 7686, 0.860, 8, 0.540, 411, 29, 17, 14, 64, 6.540, 17.553
Tue Jan 10 19:44:44 EST 2017, 5211, 0.110, 11, 0.290, 336, 97, 12, 26, 41, 16.493, 15.813
Tue Jan 10 19:46:35 EST 2017, 261, 0.610, 5, 0.790, 486, 52, 3, 1, 86, 4.520, 4.603
Tue Jan 10 19:48:40 EST 2017, 339, 0.210, 11, 0.660, 419, 36, 15, 18, 46, 9.317, 9.143
Tue Jan 10 19:53:37 EST 2017, 5289, 0.710, 5, 0.160, 569, 81, 5, 43, 91, 54.710, 56.627
Tue Jan 10 19:56:43 EST 2017, 7764, 0.460, 2, 0.910, 494, 13, 1, 5, 24, 0.237, 0.213
Tue Jan 10 19:59:19 EST 2017, 2814, 0.960, 8, 0.410, 344, 58, 10, 30, 69, 0.117, 33.133
Tue Jan 10 20:01:25 EST 2017, 4051, 0.330, 3, 0.530, 456, 69, 17, 49, 35, 34.823, 31.843
Tue Jan 10 20:03:06 EST 2017, 9001, 0.830, 9, 0.030, 306, 24, 8, 24, 80, 0.110, 10.723
Tue Jan 10 20:05:52 EST 2017, 6526, 0.080, 6, 0.780, 381, 92, 3, 37, 13, 1.870, 1.857
Tue Jan 10 20:08:14 EST 2017, 1576, 0.580, 0, 0.280, 531, 47, 13, 12, 58, 19.433, 19.153
Tue Jan 10 20:11:25 EST 2017, 2195, 0.390, 8, 0.090, 587, 52, 16, 33, 41, 34.410, 32.590
Tue Jan 10 20:15:12 EST 2017, 7145, 0.890, 2, 0.590, 437, 97, 7, 8, 86, 20.403, 19.970
Tue Jan 10 20:15:52 EST 2017, 9620, 0.140, 5, 0.340, 362, 30, 2, 46, 18, 0.943, 1.007
Tue Jan 10 20:17:28 EST 2017, 4670, 0.640, 11, 0.840, 512, 75, 11, 21, 63, 35.860, 31.600
Tue Jan 10 20:21:04 EST 2017, 3433, 0.020, 1, 0.220, 325, 64, 18, 2, 52, 3.483, 3.220
Tue Jan 10 20:25:15 EST 2017, 8383, 0.520, 7, 0.720, 475, 19, 9, 27, 97, 12.457, 11.623
Tue Jan 10 20:29:17 EST 2017, 5908, 0.270, 10, 0.470, 550, 86, 4, 15, 29, 4.877, 5.000
Tue Jan 10 20:32:48 EST 2017, 958, 0.770, 4, 0.970, 400, 41, 14, 40, 74, 32.560, 30.047
Tue Jan 10 20:35:24 EST 2017, 1267, 0.300, 2, 0.750, 353, 16, 6, 26, 66, 2.057, 2.113
Tue Jan 10 20:38:30 EST 2017, 6217, 0.800, 8, 0.250, 503, 61, 15, 1, 21, 7.043, 6.303
Tue Jan 10 20:40:51 EST 2017, 8692, 0.050, 11, 0.500, 578, 38, 11, 38, 89, 27.437, 27.053
Tue Jan 10 20:44:27 EST 2017, 3742, 0.550, 5, 0.000, 428, 83, 1, 13, 44, 2.000, 2.603
Tue Jan 10 20:48:38 EST 2017, 4979, 0.180, 6, 0.880, 540, 95, 8, 7, 55, 11.893, 9.780
Tue Jan 10 20:50:39 EST 2017, 9929, 0.680, 0, 0.380, 390, 50, 18, 32, 10, 6.393, 6.360
Tue Jan 10 20:52:55 EST 2017, 7454, 0.430, 3, 0.630, 315, 72, 13, 19, 77, 21.117, 19.970
Tue Jan 10 20:56:46 EST 2017, 2504, 0.930, 9, 0.130, 465, 27, 4, 44, 32, 0.080, 5.953
