# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 10:26:34 EDT 2017, 7771, 0.270, 3775, 2, 0.410, 345, 49, 3, 9, 51, 4.133, 5.723
Sun Apr 30 10:31:23 EDT 2017, 2821, 0.770, 8774, 6, 0.910, 495, 94, 13, 34, 96, 272.263, 280.113
Sun Apr 30 10:32:11 EDT 2017, 4059, 0.390, 25, 3, 0.290, 458, 61, 15, 15, 40, 35.410, 47.010
Sun Apr 30 10:32:25 EDT 2017, 9009, 0.890, 5024, 8, 0.790, 308, 16, 6, 40, 85, 12.487, 14.320
Sun Apr 30 10:32:40 EDT 2017, 6534, 0.140, 7524, 1, 0.540, 533, 38, 10, 3, 62, 8.733, 14.040
Sun Apr 30 10:32:43 EDT 2017, 1584, 0.640, 2525, 5, 0.040, 383, 83, 1, 28, 17, 2.273, 2.647
Sun Apr 30 10:34:06 EDT 2017, 2202, 0.330, 9399, 8, 0.220, 401, 66, 12, 12, 68, 58.407, 81.017
Sun Apr 30 10:34:08 EDT 2017, 7152, 0.830, 4399, 4, 0.720, 551, 21, 2, 37, 23, 2.327, 2.613
Sun Apr 30 10:34:22 EDT 2017, 9627, 0.080, 1900, 6, 0.970, 326, 44, 16, 0, 45, 11.513, 13.543
Sun Apr 30 10:35:20 EDT 2017, 4677, 0.580, 6899, 1, 0.470, 476, 89, 7, 25, 90, 46.810, 56.607
Sun Apr 30 10:35:38 EDT 2017, 3440, 0.210, 3150, 9, 0.850, 514, 55, 5, 19, 34, 14.507, 17.187
Sun Apr 30 10:36:02 EDT 2017, 8390, 0.710, 8149, 5, 0.350, 364, 10, 14, 44, 79, 20.117, 23.420
Sun Apr 30 10:36:30 EDT 2017, 5915, 0.460, 5649, 7, 0.100, 589, 33, 9, 6, 57, 19.690, 28.190
Sun Apr 30 10:37:01 EDT 2017, 965, 0.960, 650, 3, 0.600, 439, 78, 19, 31, 12, 25.267, 30.017
Sun Apr 30 10:37:34 EDT 2017, 1274, 0.490, 4712, 1, 0.880, 373, 30, 15, 36, 88, 28.467, 33.230
