# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 22:06:55 EST 2017, 8095, 0.930, 6, 0.560, 425, 68, 18, 41, 98, 150.337, 129.913
Tue Jan 10 22:08:01 EST 2017, 5620, 0.180, 9, 0.310, 350, 45, 13, 4, 31, 3.350, 3.237
Tue Jan 10 22:09:17 EST 2017, 670, 0.680, 3, 0.810, 500, 90, 4, 29, 76, 19.887, 19.903
Tue Jan 10 22:11:59 EST 2017, 515, 0.380, 8, 0.480, 420, 13, 12, 22, 29, 2.763, 2.847
Tue Jan 10 22:14:09 EST 2017, 5465, 0.880, 2, 0.980, 570, 58, 2, 47, 74, 9.177, 9.313
Tue Jan 10 22:16:00 EST 2017, 7940, 0.130, 5, 0.230, 495, 36, 7, 9, 52, 4.350, 4.670
Tue Jan 10 22:18:22 EST 2017, 2990, 0.630, 11, 0.730, 345, 81, 16, 34, 97, 83.830, 75.523
Tue Jan 10 22:21:13 EST 2017, 4228, 0.000, 0, 0.360, 458, 92, 14, 41, 18, 13.307, 12.407
Tue Jan 10 22:23:09 EST 2017, 9178, 0.500, 6, 0.860, 308, 47, 4, 16, 63, 4.033, 4.490
Tue Jan 10 22:24:19 EST 2017, 6703, 0.250, 9, 0.110, 383, 69, 9, 28, 40, 12.530, 12.950
Tue Jan 10 22:25:30 EST 2017, 1753, 0.750, 3, 0.610, 533, 24, 19, 3, 85, 18.143, 15.200
Tue Jan 10 22:27:16 EST 2017, 2371, 0.190, 10, 0.790, 589, 30, 10, 25, 12, 2.353, 2.303
Tue Jan 10 22:29:17 EST 2017, 7321, 0.690, 4, 0.290, 439, 75, 1, 0, 57, 1.713, 2.100
Tue Jan 10 22:30:18 EST 2017, 9796, 0.440, 1, 0.540, 364, 52, 6, 38, 35, 3.327, 3.427
Tue Jan 10 22:32:48 EST 2017, 4846, 0.940, 7, 0.040, 514, 97, 15, 13, 80, 0.197, 90.557
Tue Jan 10 22:34:29 EST 2017, 3609, 0.320, 3, 0.920, 327, 86, 13, 6, 23, 3.777, 3.080
Tue Jan 10 22:37:35 EST 2017, 8559, 0.820, 9, 0.420, 477, 41, 3, 31, 68, 9.147, 9.107
Tue Jan 10 22:39:41 EST 2017, 6084, 0.070, 6, 0.670, 552, 64, 8, 19, 46, 9.783, 9.533
Tue Jan 10 22:42:03 EST 2017, 1134, 0.570, 0, 0.170, 402, 19, 18, 44, 91, 28.863, 29.057
Tue Jan 10 22:45:46 EST 2017, 825, 0.100, 5, 0.080, 355, 38, 3, 33, 99, 5.233, 5.703
Tue Jan 10 22:50:03 EST 2017, 5775, 0.600, 11, 0.580, 505, 83, 12, 8, 54, 23.167, 20.287
Tue Jan 10 22:54:14 EST 2017, 8250, 0.350, 8, 0.330, 580, 16, 17, 45, 77, 26.460, 25.283
Tue Jan 10 22:58:00 EST 2017, 3300, 0.850, 2, 0.830, 430, 61, 7, 20, 32, 5.950, 5.617
Tue Jan 10 23:00:11 EST 2017, 4537, 0.470, 9, 0.200, 542, 72, 5, 2, 88, 11.820, 13.947
