# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue May 16 14:38:28 EDT 2017, 0.940, 3, 4, 0.000, 2, 1, 68, 540, 81, 5, 18, 26, 11.360, 9.570
Tue May 16 14:38:45 EDT 2017, 0.440, 7, 8, 0.500, 6, 6, 23, 390, 36, 15, 43, 71, 16.477, 12.597
Tue May 16 14:39:02 EDT 2017, 0.320, 4, 3, 0.370, 1, 7, 34, 352, 70, 8, 12, 37, 16.597, 11.560
Tue May 16 14:39:23 EDT 2017, 0.820, 9, 7, 0.870, 5, 3, 79, 502, 25, 17, 37, 82, 20.627, 14.453
Tue May 16 14:39:56 EDT 2017, 0.570, 2, 9, 0.120, 7, 9, 57, 427, 92, 13, 0, 60, 32.237, 26.797
Tue May 16 14:39:58 EDT 2017, 0.070, 6, 5, 0.620, 3, 5, 12, 577, 47, 3, 25, 15, 2.220, 2.057
Tue May 16 14:47:40 EDT 2017, 0.100, 2, 1, 0.590, 3, 2, 99, 493, 50, 19, 48, 91, 347.223, 460.907
Tue May 16 14:48:04 EDT 2017, 0.600, 7, 6, 0.090, 7, 7, 54, 343, 95, 10, 23, 46, 23.137, 17.953
Tue May 16 14:48:06 EDT 2017, 0.850, 4, 8, 0.840, 9, 5, 32, 568, 27, 5, 36, 23, 2.047, 1.987
Tue May 16 14:49:12 EDT 2017, 0.350, 9, 3, 0.340, 5, 9, 77, 418, 72, 14, 11, 68, 64.740, 38.360
Tue May 16 14:49:14 EDT 2017, 0.480, 3, 7, 0.720, 8, 8, 88, 305, 39, 3, 29, 34, 2.053, 2.217
Tue May 16 14:51:24 EDT 2017, 0.980, 8, 2, 0.220, 4, 3, 43, 455, 84, 12, 4, 79, 128.917, 82.960
Tue May 16 14:51:35 EDT 2017, 0.730, 1, 4, 0.970, 2, 6, 20, 380, 16, 17, 42, 57, 10.380, 6.430
Tue May 16 14:51:38 EDT 2017, 0.230, 5, 9, 0.470, 6, 1, 65, 530, 61, 7, 17, 12, 2.887, 2.623
