# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:48:11 EDT 2017, 0.360, 154, 29, 5, 13, 382, 13, 36, 6, 28, 29.267, 23.443
Sun Jul  2 10:51:51 EDT 2017, 0.490, 139, 20, 6, 21, 419, 16, 41, 25, 43, 219.903, 166.580
Sun Jul  2 10:51:54 EDT 2017, 0.990, 159, 25, 2, 10, 569, 6, 21, 10, 23, 2.913, 2.940
Sun Jul  2 10:51:55 EDT 2017, 0.740, 129, 27, 8, 16, 344, 2, 31, 17, 13, 0.250, 0.270
Sun Jul  2 10:52:00 EDT 2017, 0.240, 149, 22, 4, 27, 494, 11, 11, 2, 33, 4.640, 4.457
Sun Jul  2 10:52:27 EDT 2017, 0.170, 132, 29, 2, 28, 513, 19, 34, 23, 15, 27.113, 22.450
Sun Jul  2 10:52:32 EDT 2017, 0.670, 152, 24, 6, 17, 363, 10, 14, 8, 35, 4.660, 4.147
Sun Jul  2 10:53:16 EDT 2017, 0.920, 122, 22, 4, 11, 588, 5, 44, 15, 45, 44.097, 35.537
Sun Jul  2 10:53:34 EDT 2017, 0.420, 142, 27, 8, 22, 438, 15, 24, 0, 25, 17.520, 14.407
Sun Jul  2 10:54:20 EDT 2017, 0.300, 127, 23, 3, 9, 400, 17, 19, 26, 40, 46.243, 36.147
Sun Jul  2 10:54:28 EDT 2017, 0.800, 147, 28, 7, 20, 550, 7, 39, 11, 20, 7.877, 7.287
Sun Jul  2 10:54:29 EDT 2017, 0.550, 137, 26, 5, 25, 325, 3, 29, 19, 10, 0.330, 0.373
Sun Jul  2 10:55:45 EDT 2017, 0.050, 157, 21, 9, 14, 475, 12, 49, 4, 30, 76.093, 58.797
Sun Jul  2 10:55:46 EDT 2017, 0.030, 125, 29, 4, 19, 442, 3, 14, 19, 22, 0.463, 0.507
Sun Jul  2 10:57:33 EDT 2017, 0.530, 145, 24, 8, 8, 592, 13, 34, 4, 42, 106.773, 83.607
Sun Jul  2 10:58:18 EDT 2017, 0.780, 135, 21, 2, 13, 367, 17, 24, 27, 32, 45.370, 35.167
Sun Jul  2 10:58:23 EDT 2017, 0.280, 155, 26, 6, 24, 517, 8, 44, 12, 12, 4.663, 4.357
Sun Jul  2 10:58:25 EDT 2017, 0.410, 130, 23, 5, 16, 480, 1, 39, 16, 37, 1.197, 1.293
Sun Jul  2 10:58:27 EDT 2017, 0.910, 150, 28, 9, 27, 330, 10, 19, 1, 17, 1.670, 1.730
Sun Jul  2 11:01:05 EDT 2017, 0.660, 120, 25, 3, 21, 555, 15, 49, 23, 27, 157.777, 121.033
Sun Jul  2 11:01:17 EDT 2017, 0.160, 140, 20, 7, 10, 405, 5, 29, 8, 47, 12.193, 10.283
Sun Jul  2 11:01:20 EDT 2017, 0.220, 137, 27, 9, 9, 386, 4, 47, 18, 20, 3.147, 3.080
Sun Jul  2 11:02:28 EDT 2017, 0.720, 157, 22, 5, 20, 536, 14, 27, 3, 40, 67.540, 52.340
Sun Jul  2 11:03:47 EDT 2017, 0.970, 127, 24, 7, 26, 311, 18, 37, 25, 30, 78.770, 59.593
Sun Jul  2 11:03:49 EDT 2017, 0.470, 147, 29, 3, 15, 461, 9, 17, 10, 10, 1.010, 1.183
Sun Jul  2 11:03:50 EDT 2017, 0.350, 122, 21, 8, 28, 499, 2, 22, 21, 35, 1.153, 1.250
Sun Jul  2 11:03:59 EDT 2017, 0.850, 142, 26, 4, 17, 349, 11, 42, 6, 15, 9.120, 7.763
Sun Jul  2 11:04:06 EDT 2017, 0.600, 132, 28, 6, 12, 574, 16, 12, 29, 25, 6.947, 6.683
Sun Jul  2 11:04:33 EDT 2017, 0.100, 152, 23, 2, 23, 424, 7, 32, 14, 45, 26.257, 21.293
Sun Jul  2 11:04:55 EDT 2017, 0.070, 134, 22, 3, 25, 339, 13, 40, 11, 19, 22.327, 17.990
Sun Jul  2 11:04:58 EDT 2017, 0.570, 154, 27, 7, 14, 489, 4, 20, 26, 39, 2.740, 2.843
Sun Jul  2 11:05:32 EDT 2017, 0.820, 124, 29, 5, 8, 414, 8, 30, 3, 49, 33.327, 27.007
Sun Jul  2 11:05:39 EDT 2017, 0.320, 144, 24, 9, 19, 564, 18, 10, 18, 29, 7.433, 6.780
Sun Jul  2 11:06:33 EDT 2017, 0.440, 129, 25, 2, 11, 527, 11, 25, 7, 44, 53.157, 41.140
Sun Jul  2 11:06:34 EDT 2017, 0.940, 149, 20, 6, 22, 377, 1, 45, 22, 24, 0.630, 0.863
Sun Jul  2 11:06:35 EDT 2017, 0.690, 139, 23, 4, 28, 452, 6, 15, 0, 14, 0.797, 0.920
Sun Jul  2 11:07:15 EDT 2017, 0.190, 159, 28, 8, 17, 302, 15, 35, 15, 34, 40.113, 30.897
Sun Jul  2 11:07:19 EDT 2017, 0.130, 121, 23, 6, 15, 321, 14, 18, 9, 16, 3.440, 3.273
Sun Jul  2 11:07:31 EDT 2017, 0.630, 141, 28, 2, 26, 471, 5, 38, 24, 36, 12.663, 10.747
Sun Jul  2 11:08:08 EDT 2017, 0.880, 131, 26, 8, 21, 396, 10, 28, 2, 46, 36.020, 28.813
Sun Jul  2 11:11:19 EDT 2017, 0.380, 151, 21, 4, 10, 546, 19, 48, 17, 26, 190.693, 140.050
Sun Jul  2 11:12:41 EDT 2017, 0.250, 136, 27, 7, 23, 583, 12, 33, 13, 41, 81.520, 63.450
Sun Jul  2 11:12:41 EDT 2017, 0.750, 156, 22, 3, 12, 433, 2, 13, 28, 21, 0.303, 0.337
Sun Jul  2 11:12:45 EDT 2017, 0.500, 126, 20, 9, 18, 508, 7, 43, 5, 11, 3.937, 3.793
