# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 18:40:22 EDT 2017, 0.570, 154, 20, 8, 27, 530, 12, 15, 17, 12, 1.600, 0.870
Sun Jul  2 18:41:31 EDT 2017, 0.820, 124, 23, 2, 21, 305, 17, 45, 9, 22, 68.410, 3.027
Sun Jul  2 18:41:43 EDT 2017, 0.320, 144, 28, 6, 10, 455, 7, 25, 24, 42, 12.570, 2.210
Sun Jul  2 18:41:44 EDT 2017, 0.450, 129, 22, 5, 19, 493, 5, 10, 6, 27, 0.943, 0.523
Sun Jul  2 18:42:47 EDT 2017, 0.950, 149, 27, 9, 8, 343, 14, 30, 21, 47, 62.373, 3.413
Sun Jul  2 18:43:48 EDT 2017, 0.700, 139, 29, 3, 13, 568, 19, 20, 13, 37, 60.693, 4.060
Sun Jul  2 18:43:58 EDT 2017, 0.200, 159, 24, 7, 24, 418, 10, 40, 28, 17, 9.240, 1.733
Sun Jul  2 18:43:58 EDT 2017, 0.140, 121, 27, 9, 28, 436, 1, 22, 4, 34, 0.410, 0.507
Sun Jul  2 18:44:14 EDT 2017, 0.640, 141, 22, 5, 17, 586, 11, 42, 19, 14, 15.270, 2.403
Sun Jul  2 18:44:19 EDT 2017, 0.890, 131, 20, 7, 12, 361, 16, 12, 11, 24, 5.183, 1.167
Sun Jul  2 18:44:40 EDT 2017, 0.390, 151, 25, 3, 23, 511, 6, 32, 26, 44, 20.707, 2.963
Sun Jul  2 18:44:49 EDT 2017, 0.260, 136, 24, 8, 9, 474, 4, 47, 0, 29, 8.370, 1.920
Sun Jul  2 18:45:33 EDT 2017, 0.760, 156, 29, 4, 20, 324, 13, 27, 15, 49, 44.130, 3.090
Sun Jul  2 18:49:26 EDT 2017, 0.510, 126, 26, 6, 25, 549, 18, 37, 7, 39, 232.053, 7.163
Sun Jul  2 18:49:28 EDT 2017, 0.010, 146, 21, 2, 14, 399, 8, 17, 22, 19, 2.293, 1.143
Sun Jul  2 18:50:18 EDT 2017, 0.020, 120, 26, 5, 22, 420, 14, 25, 13, 38, 49.327, 3.243
Sun Jul  2 18:50:22 EDT 2017, 0.520, 140, 21, 9, 11, 570, 4, 45, 28, 18, 3.887, 1.443
Sun Jul  2 18:50:26 EDT 2017, 0.770, 130, 23, 3, 17, 345, 9, 15, 5, 28, 3.640, 0.983
Sun Jul  2 18:54:05 EDT 2017, 0.270, 150, 28, 7, 28, 495, 18, 35, 20, 48, 218.773, 7.363
Sun Jul  2 18:54:39 EDT 2017, 0.390, 135, 20, 4, 14, 458, 11, 40, 9, 23, 33.510, 3.013
Sun Jul  2 18:54:40 EDT 2017, 0.890, 155, 25, 8, 25, 308, 2, 20, 24, 43, 0.877, 0.653
Sun Jul  2 18:54:57 EDT 2017, 0.640, 125, 27, 2, 19, 533, 7, 30, 2, 33, 17.313, 2.803
Sun Jul  2 18:54:59 EDT 2017, 0.140, 145, 22, 6, 8, 383, 16, 10, 17, 13, 1.203, 0.490
Sun Jul  2 18:55:39 EDT 2017, 0.210, 133, 29, 8, 13, 401, 12, 33, 7, 35, 39.857, 2.990
Sun Jul  2 18:55:39 EDT 2017, 0.710, 153, 24, 4, 24, 551, 3, 13, 22, 15, 0.287, 0.290
Sun Jul  2 18:55:57 EDT 2017, 0.960, 123, 21, 6, 29, 326, 8, 43, 0, 25, 17.480, 2.077
Sun Jul  2 18:57:25 EDT 2017, 0.460, 143, 26, 2, 18, 476, 17, 23, 15, 45, 87.230, 4.427
Sun Jul  2 18:57:29 EDT 2017, 0.330, 128, 23, 9, 26, 514, 10, 18, 11, 20, 4.167, 1.210
Sun Jul  2 18:57:30 EDT 2017, 0.830, 148, 28, 5, 15, 364, 1, 38, 26, 40, 0.873, 0.807
Sun Jul  2 18:57:37 EDT 2017, 0.580, 138, 25, 7, 10, 589, 5, 28, 3, 30, 6.417, 1.750
Sun Jul  2 18:57:51 EDT 2017, 0.080, 158, 20, 3, 21, 439, 15, 48, 18, 10, 14.203, 1.940
Sun Jul  2 18:58:10 EDT 2017, 0.110, 139, 24, 2, 27, 373, 5, 39, 21, 44, 18.397, 2.487
Sun Jul  2 18:58:19 EDT 2017, 0.610, 159, 29, 6, 16, 523, 14, 19, 6, 24, 9.273, 1.687
Sun Jul  2 18:59:05 EDT 2017, 0.860, 129, 27, 4, 10, 448, 19, 49, 29, 14, 45.460, 2.923
Sun Jul  2 18:59:37 EDT 2017, 0.360, 149, 22, 8, 21, 598, 10, 29, 14, 34, 32.260, 3.523
Sun Jul  2 18:59:38 EDT 2017, 0.490, 124, 28, 3, 8, 561, 2, 14, 18, 19, 0.347, 0.397
Sun Jul  2 19:00:36 EDT 2017, 0.990, 144, 23, 7, 19, 411, 12, 34, 3, 39, 57.837, 3.743
Sun Jul  2 19:02:58 EDT 2017, 0.740, 134, 20, 5, 24, 486, 17, 24, 25, 49, 141.213, 5.683
Sun Jul  2 19:03:11 EDT 2017, 0.240, 154, 25, 9, 13, 336, 7, 44, 10, 29, 12.970, 1.953
Sun Jul  2 19:03:14 EDT 2017, 0.180, 127, 21, 7, 17, 317, 4, 22, 16, 42, 3.213, 1.033
Sun Jul  2 19:03:53 EDT 2017, 0.680, 147, 26, 3, 28, 467, 13, 42, 1, 22, 38.460, 3.100
Sun Jul  2 19:03:55 EDT 2017, 0.930, 137, 29, 9, 23, 392, 18, 12, 23, 12, 1.633, 0.657
Sun Jul  2 19:04:15 EDT 2017, 0.430, 157, 24, 5, 12, 542, 8, 32, 8, 32, 19.530, 2.730
Sun Jul  2 19:04:16 EDT 2017, 0.300, 132, 25, 6, 20, 579, 1, 47, 19, 17, 0.623, 0.700
Sun Jul  2 19:04:53 EDT 2017, 0.800, 152, 20, 2, 9, 429, 11, 27, 4, 37, 37.017, 3.157
Sun Jul  2 19:08:58 EDT 2017, 0.550, 122, 22, 8, 15, 504, 15, 37, 27, 47, 243.987, 7.620
Sun Jul  2 19:09:00 EDT 2017, 0.050, 142, 27, 4, 26, 354, 6, 17, 12, 27, 1.767, 0.847
Sun Jul  2 19:14:14 EDT 2017, 0.040, 130, 22, 9, 10, 528, 19, 41, 26, 39, 312.310, 8.670
Sun Jul  2 19:14:16 EDT 2017, 0.540, 150, 27, 5, 21, 378, 9, 21, 11, 19, 2.667, 1.000
Sun Jul  2 19:14:20 EDT 2017, 0.790, 120, 29, 7, 27, 453, 4, 31, 19, 29, 3.700, 1.353
Sun Jul  2 19:14:31 EDT 2017, 0.290, 140, 24, 3, 16, 303, 14, 11, 4, 49, 10.580, 1.407
Sun Jul  2 19:14:51 EDT 2017, 0.410, 125, 26, 8, 29, 340, 16, 26, 23, 24, 19.573, 1.933
