# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 12:08:14 EDT 2017, 4392, 0.440, 9570, 3, 0.130, 355, 16, 9, 2, 54, 1.750, 1.573
Wed Apr 19 12:09:10 EDT 2017, 9342, 0.940, 4570, 7, 0.630, 505, 61, 18, 27, 99, 49.690, 49.757
Wed Apr 19 12:09:33 EDT 2017, 6867, 0.190, 2071, 1, 0.880, 430, 84, 4, 15, 77, 21.793, 20.220
Wed Apr 19 12:09:48 EDT 2017, 1917, 0.690, 7070, 5, 0.380, 580, 39, 14, 40, 32, 14.727, 14.513
Wed Apr 19 12:09:49 EDT 2017, 2536, 0.250, 196, 8, 0.320, 598, 22, 3, 6, 60, 1.023, 1.230
Wed Apr 19 12:09:58 EDT 2017, 7486, 0.750, 5195, 3, 0.820, 448, 67, 12, 31, 15, 8.713, 8.320
Wed Apr 19 12:10:09 EDT 2017, 9961, 0.000, 7695, 6, 0.570, 523, 89, 8, 18, 37, 11.193, 11.253
Wed Apr 19 12:11:33 EDT 2017, 5011, 0.500, 2696, 1, 0.070, 373, 44, 17, 43, 82, 82.987, 76.133
Wed Apr 19 12:11:34 EDT 2017, 3773, 0.120, 6445, 9, 0.690, 336, 11, 10, 12, 49, 0.970, 1.317
Wed Apr 19 12:11:39 EDT 2017, 8723, 0.620, 1446, 5, 0.190, 486, 56, 1, 37, 94, 4.250, 4.760
Wed Apr 19 12:12:11 EDT 2017, 6248, 0.370, 3945, 7, 0.440, 411, 78, 15, 24, 71, 30.410, 28.550
Wed Apr 19 12:12:18 EDT 2017, 1298, 0.870, 8945, 2, 0.940, 561, 33, 5, 49, 26, 6.810, 6.703
Wed Apr 19 12:12:36 EDT 2017, 989, 0.410, 5508, 1, 0.540, 476, 75, 1, 45, 96, 15.697, 16.727
Wed Apr 19 12:12:41 EDT 2017, 5939, 0.910, 508, 5, 0.040, 326, 30, 11, 20, 51, 5.443, 5.430
Wed Apr 19 12:12:51 EDT 2017, 8414, 0.160, 3008, 3, 0.290, 551, 53, 6, 32, 29, 9.300, 8.990
Wed Apr 19 12:13:12 EDT 2017, 3464, 0.660, 8008, 8, 0.790, 401, 98, 15, 7, 74, 20.087, 18.947
Wed Apr 19 12:13:28 EDT 2017, 4701, 0.030, 1758, 2, 0.410, 439, 64, 13, 38, 18, 15.810, 14.810
Wed Apr 19 12:13:30 EDT 2017, 9651, 0.530, 6758, 7, 0.910, 589, 19, 4, 13, 63, 1.883, 1.947
Wed Apr 19 12:13:59 EDT 2017, 7176, 0.280, 9257, 4, 0.660, 364, 41, 18, 26, 85, 28.627, 26.807
Wed Apr 19 12:14:05 EDT 2017, 2226, 0.780, 4258, 9, 0.160, 514, 86, 8, 1, 40, 5.277, 5.977
Wed Apr 19 12:15:32 EDT 2017, 1608, 0.220, 8632, 7, 0.100, 495, 70, 19, 41, 91, 72.997, 76.330
Wed Apr 19 12:15:36 EDT 2017, 6558, 0.720, 3633, 3, 0.600, 345, 25, 9, 16, 46, 3.933, 3.737
Wed Apr 19 12:15:43 EDT 2017, 9033, 0.470, 1133, 9, 0.850, 570, 47, 14, 29, 23, 6.453, 6.500
Wed Apr 19 12:15:53 EDT 2017, 4083, 0.970, 6133, 5, 0.350, 420, 92, 5, 4, 68, 8.717, 9.680
Wed Apr 19 12:15:55 EDT 2017, 2845, 0.340, 4883, 6, 0.980, 383, 58, 7, 48, 12, 2.620, 2.797
Wed Apr 19 12:16:07 EDT 2017, 7795, 0.840, 9882, 2, 0.480, 533, 13, 17, 23, 57, 10.920, 9.973
Wed Apr 19 12:16:09 EDT 2017, 5320, 0.090, 7383, 8, 0.230, 308, 36, 2, 35, 79, 1.923, 2.070
Wed Apr 19 12:16:21 EDT 2017, 370, 0.590, 2383, 4, 0.730, 458, 81, 12, 10, 34, 11.517, 10.527
Wed Apr 19 12:16:35 EDT 2017, 293, 0.190, 7304, 3, 0.250, 512, 15, 16, 25, 82, 14.113, 13.227
Wed Apr 19 12:16:38 EDT 2017, 5243, 0.690, 2305, 7, 0.750, 362, 60, 6, 0, 37, 1.823, 2.027
Wed Apr 19 12:16:48 EDT 2017, 7718, 0.440, 4805, 5, 0.500, 587, 83, 11, 38, 14, 10.523, 10.200
Wed Apr 19 12:16:50 EDT 2017, 2768, 0.940, 9804, 9, 0.000, 437, 38, 2, 13, 59, 1.370, 1.557
Wed Apr 19 12:16:55 EDT 2017, 4005, 0.320, 1055, 2, 0.620, 399, 27, 9, 32, 25, 5.017, 4.797
