# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 16:26:02 EST 2016, 0, 0.000, 4, 32.983, 4.17743, 30.0398, 35.9262, 27.68, 29.58, 32.455, 39.87, 40.39, 251498, 10.6132, 251491, 251505, 251488, 251488, 251504, 251504, 251520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 19920000, 0, 19920000, 19920000, 19920000, 19920000, 19920000, 19920000, 19920000
Fri Dec 30 16:26:48 EST 2016, 1, 0.000, 4, 20.95, 1.89774, 19.6129, 22.2871, 19.38, 19.75, 20.62, 22.65, 25.95, 221445, 7.33212, 221440, 221450, 221440, 221440, 221440, 221456, 221456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4129474, 0, 4129474, 4129474, 4129474, 4129474, 4129474, 4129474, 4129474, 7839058, 0, 7839058, 7839058, 7839058, 7839058, 7839058, 7839058, 7839058
Fri Dec 30 16:27:54 EST 2016, 2, 0.000, 4, 26.076, 1.70272, 24.8763, 27.2757, 24.48, 25.04, 25.685, 28.84, 29.85, 234648, 8, 234642, 234654, 234640, 234640, 234656, 234656, 234656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4780678, 0, 4780678, 4780678, 4780678, 4780678, 4780678, 4780678, 4780678, 12595353, 0, 12595353, 12595353, 12595353, 12595353, 12595353, 12595353, 12595353
Fri Dec 30 16:29:05 EST 2016, 4, 0.000, 4, 31.079, 2.2245, 29.5117, 32.6463, 29.60, 29.73, 30.675, 31.16, 37.57, 248405, 7.33212, 248400, 248410, 248400, 248400, 248400, 248416, 248416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4972340, 0, 4972340, 4972340, 4972340, 4972340, 4972340, 4972340, 4972340, 17228401, 0, 17228401, 17228401, 17228401, 17228401, 17228401, 17228401, 17228401
Fri Dec 30 16:30:11 EST 2016, 8, 0.000, 4, 35.991, 2.83002, 33.9971, 37.9849, 30.93, 34.13, 36.1, 39.77, 41.41, 255768, 8, 255762, 255774, 255760, 255760, 255776, 255776, 255776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4989907, 0, 4989907, 4989907, 4989907, 4989907, 4989907, 4989907, 4989907, 19556603, 0, 19556603, 19556603, 19556603, 19556603, 19556603, 19556603, 19556603
Fri Dec 30 16:31:17 EST 2016, 0, 0.250, 4, 31.389, 4.62923, 28.1275, 34.6505, 27.96, 28.32, 29.915, 35.14, 43.65, 234922, 10.6132, 234915, 234929, 234912, 234912, 234928, 234928, 234944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4984619, 0, 4984619, 4984619, 4984619, 4984619, 4984619, 4984619, 4984619, 19920000, 0, 19920000, 19920000, 19920000, 19920000, 19920000, 19920000, 19920000
Fri Dec 30 16:31:58 EST 2016, 1, 0.250, 4, 20.633, 1.88955, 19.3017, 21.9643, 18.06, 19.49, 20.32, 23.13, 24.15, 210421, 7.33212, 210416, 210426, 210416, 210416, 210416, 210432, 210432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4120782, 0, 4120782, 4120782, 4120782, 4120782, 4120782, 4120782, 4120782, 7838739, 0, 7838739, 7838739, 7838739, 7838739, 7838739, 7838739, 7838739
Fri Dec 30 16:32:59 EST 2016, 2, 0.250, 4, 23.239, 0.464725, 22.9116, 23.5664, 22.19, 22.92, 23.53, 23.64, 23.69, 219955, 23.5151, 219938, 219972, 219936, 219936, 219952, 220000, 220000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4763832, 0, 4763832, 4763832, 4763832, 4763832, 4763832, 4763832, 4763832, 12595008, 0, 12595008, 12595008, 12595008, 12595008, 12595008, 12595008, 12595008
Fri Dec 30 16:34:14 EST 2016, 4, 0.250, 4, 31.05, 3.31126, 28.717, 33.383, 28.46, 28.66, 29.275, 35.79, 37.33, 230406, 7.83837, 230400, 230412, 230400, 230400, 230408, 230416, 230416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4954124, 0, 4954124, 4954124, 4954124, 4954124, 4954124, 4954124, 4954124, 17228552, 0, 17228552, 17228552, 17228552, 17228552, 17228552, 17228552, 17228552
Fri Dec 30 16:35:15 EST 2016, 8, 0.250, 4, 33, 2.98794, 30.8948, 35.1052, 29.02, 30.68, 32.6, 37.50, 38.09, 235062, 10.6132, 235055, 235069, 235056, 235056, 235056, 235072, 235088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4982391, 0, 4982391, 4982391, 4982391, 4982391, 4982391, 4982391, 4982391, 19556567, 0, 19556567, 19556567, 19556567, 19556567, 19556567, 19556567, 19556567
