# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 17:13:16 EST 2016, 2040, .66000000000000000000, 3, .70000000000000000000, 367, 62, 9, 14, 84, 23.890, 16.920
Thu Dec 29 17:13:51 EST 2016, 1422, .35000000000000000000, 11, .89000000000000000000, 311, 57, 3, 42, 11, 1.340, 1.213
Thu Dec 29 17:15:07 EST 2016, 6372, .85000000000000000000, 5, .39000000000000000000, 461, 12, 12, 17, 56, 12.487, 9.033
Thu Dec 29 17:16:18 EST 2016, 8847, .10000000000000000000, 2, .64000000000000000000, 536, 79, 17, 30, 34, 19.787, 18.727
Thu Dec 29 17:22:19 EST 2016, 3897, .60000000000000000000, 8, .14000000000000000000, 386, 34, 7, 5, 79, 203.347, 8.497
Thu Dec 29 17:23:05 EST 2016, 2659, .22000000000000000000, 4, .77000000000000000000, 573, 45, 5, 23, 22, 2.803, 2.760
Thu Dec 29 17:29:07 EST 2016, 7609, .72000000000000000000, 10, .27000000000000000000, 423, 90, 15, 48, 67, 205.807, 101.013
Thu Dec 29 17:30:22 EST 2016, 5134, .47000000000000000000, 7, .52000000000000000000, 348, 23, 19, 11, 45, 12.990, 6.350
Thu Dec 29 17:36:49 EST 2016, 184, .97000000000000000000, 1, .02000000000000000000, 498, 68, 10, 36, 90, 300.000, 119.033
Thu Dec 29 17:42:51 EST 2016, 223, .02000000000000000000, 3, .58000000000000000000, 342, 99, 16, 28, 93, 300.000, 39.173
Thu Dec 29 17:49:08 EST 2016, 5173, .52000000000000000000, 9, .08000000000000000000, 492, 54, 6, 3, 48, 300.000, 7.587
Thu Dec 29 17:49:38 EST 2016, 7648, .27000000000000000000, 6, .83000000000000000000, 567, 77, 2, 40, 71, 10.650, 10.790
Thu Dec 29 17:50:29 EST 2016, 2698, .77000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.050, 0.060
Thu Dec 29 17:53:20 EST 2016, 3935, .39000000000000000000, 11, .71000000000000000000, 530, 20, 18, 9, 82, 107.860, 11.250
Thu Dec 29 17:54:10 EST 2016, 8885, .89000000000000000000, 5, .21000000000000000000, 380, 65, 9, 34, 37, 36.897, 22.157
Thu Dec 29 17:54:36 EST 2016, 6410, .14000000000000000000, 2, .96000000000000000000, 305, 43, 4, 22, 59, 1.903, 2.073
Thu Dec 29 17:55:56 EST 2016, 1460, .64000000000000000000, 8, .46000000000000000000, 455, 88, 14, 47, 14, 21.630, 18.760
Thu Dec 29 17:56:37 EST 2016, 2079, .33000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.043, 0.060
Thu Dec 29 17:57:47 EST 2016, 7029, .83000000000000000000, 6, .64000000000000000000, 361, 37, 5, 43, 42, 8.247, 7.460
Thu Dec 29 17:58:43 EST 2016, 9504, .08000000000000000000, 9, .39000000000000000000, 436, 60, 1, 6, 65, 1.363, 1.490
Thu Dec 29 17:59:44 EST 2016, 4554, .58000000000000000000, 3, .89000000000000000000, 586, 15, 10, 31, 20, 2.453, 2.417
