# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 05:04:57 EST 2016, 7022, .51000000000000000000, 1, .75000000000000000000, 420, 86, 18, 2, 13, 2.717, 1.940
Thu Dec 29 05:05:58 EST 2016, 9497, .26000000000000000000, 4, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.067
Thu Dec 29 05:07:03 EST 2016, 4547, .76000000000000000000, 10, .50000000000000000000, 495, 64, 3, 15, 36, 6.453, 5.090
Thu Dec 29 05:08:04 EST 2016, 3309, .39000000000000000000, 2, .37000000000000000000, 308, 75, 6, 8, 70, 7.600, 6.737
Thu Dec 29 05:09:10 EST 2016, 8259, .89000000000000000000, 8, .87000000000000000000, 458, 30, 15, 33, 25, 12.627, 10.373
Thu Dec 29 05:25:39 EST 2016, 5784, .14000000000000000000, 11, .12000000000000000000, 533, 98, 11, 21, 92, 0.000, 51.027
Thu Dec 29 05:26:05 EST 2016, 834, .64000000000000000000, 5, .62000000000000000000, 383, 53, 1, 46, 47, 2.977, 2.870
Thu Dec 29 05:27:05 EST 2016, 1144, .17000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.067
Thu Dec 29 05:43:40 EST 2016, 6094, .67000000000000000000, 6, .09000000000000000000, 523, 72, 10, 7, 95, 0.000, 51.447
Thu Dec 29 05:44:10 EST 2016, 8569, .42000000000000000000, 9, .84000000000000000000, 598, 50, 5, 44, 27, 8.177, 7.800
Thu Dec 29 06:00:45 EST 2016, 3619, .92000000000000000000, 3, .34000000000000000000, 448, 95, 15, 19, 72, 0.000, 91.077
Thu Dec 29 06:01:05 EST 2016, 4856, .30000000000000000000, 8, .72000000000000000000, 561, 84, 17, --cols, , 0.063, 0.063
Thu Dec 29 06:10:43 EST 2016, 9806, .80000000000000000000, 2, .22000000000000000000, 411, 39, 8, 25, 84, 353.017, 27.260
Thu Dec 29 06:11:14 EST 2016, 7331, .05000000000000000000, 5, .97000000000000000000, 336, 61, 3, 13, 16, 0.870, 0.813
Thu Dec 29 06:12:30 EST 2016, 2381, .55000000000000000000, 11, .47000000000000000000, 486, 16, 12, 38, 61, 15.887, 12.660
Thu Dec 29 06:13:25 EST 2016, 1762, .48000000000000000000, 3, .16000000000000000000, 505, 11, 18, 16, 33, 10.680, 5.410
Thu Dec 29 06:15:16 EST 2016, 6712, .98000000000000000000, 9, .66000000000000000000, 355, 56, 9, 41, 78, 60.157, 37.727
Thu Dec 29 06:16:16 EST 2016, 9187, .23000000000000000000, 6, .41000000000000000000, 430, 33, 4, 4, 11, 0.727, 0.633
Thu Dec 29 06:17:17 EST 2016, 4237, .73000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 06:19:03 EST 2016, 3000, .11000000000000000000, 10, .03000000000000000000, 392, 89, 16, 47, 44, 41.770, 38.607
Thu Dec 29 06:19:43 EST 2016, 7950, .61000000000000000000, 4, .53000000000000000000, 542, 44, 6, 22, 89, 24.357, 17.990
Thu Dec 29 06:20:24 EST 2016, 5475, .36000000000000000000, 1, .28000000000000000000, 467, 67, 2, 35, 22, 1.237, 1.393
Thu Dec 29 06:21:30 EST 2016, 525, .86000000000000000000, 7, .78000000000000000000, 317, 22, 11, 10, 67, 9.897, 5.823
Thu Dec 29 06:22:25 EST 2016, 680, .06000000000000000000, 3, .39000000000000000000, 528, 82, 4, 40, 26, 4.987, 5.067
Thu Dec 29 06:23:41 EST 2016, 5630, .56000000000000000000, 9, .89000000000000000000, 378, 37, 14, 15, 71, 17.543, 12.777
Thu Dec 29 06:24:52 EST 2016, 8105, .31000000000000000000, 6, .14000000000000000000, 303, 60, 19, 28, 49, 27.910, 22.657
Thu Dec 29 06:25:27 EST 2016, 3155, .81000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.063
Thu Dec 29 06:26:28 EST 2016, 4392, .44000000000000000000, 11, .26000000000000000000, 341, 26, 2, 22, 15, 0.727, 0.727
Thu Dec 29 06:29:44 EST 2016, 9342, .94000000000000000000, 5, .76000000000000000000, 491, 71, 11, 47, 60, 133.297, 61.193
Thu Dec 29 06:38:32 EST 2016, 6867, .19000000000000000000, 2, .01000000000000000000, 566, 49, 16, 9, 37, 166.030, 10.777
Thu Dec 29 06:40:42 EST 2016, 1917, .69000000000000000000, 8, .51000000000000000000, 416, 94, 7, 34, 82, 64.277, 45.480
Thu Dec 29 06:41:38 EST 2016, 2536, .25000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.060
Thu Dec 29 06:57:48 EST 2016, 7486, .75000000000000000000, 6, .33000000000000000000, 547, 54, 13, 31, 65, 0.000, 54.050
Thu Dec 29 06:58:48 EST 2016, 9961, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.067, 0.070
Thu Dec 29 07:00:14 EST 2016, 5011, .50000000000000000000, 3, .08000000000000000000, 322, 32, 8, 43, 88, 24.127, 18.577
Thu Dec 29 07:00:54 EST 2016, 3773, .12000000000000000000, 7, .95000000000000000000, 509, 20, 1, 25, 32, 0.640, 0.623
Thu Dec 29 07:01:55 EST 2016, 8723, .62000000000000000000, 1, .45000000000000000000, 359, 65, 10, --cols, , 0.063, 0.063
Thu Dec 29 07:03:21 EST 2016, 6248, .37000000000000000000, 4, .70000000000000000000, 434, 43, 15, 37, 54, 27.760, 22.323
Thu Dec 29 07:19:40 EST 2016, 1298, .87000000000000000000, 10, .20000000000000000000, 584, 88, 5, 12, 99, 0.000, 41.640
Thu Dec 29 07:35:50 EST 2016, 989, .41000000000000000000, 6, .05000000000000000000, 462, 63, 14, 1, 91, 0.000, 25.057
Thu Dec 29 07:36:10 EST 2016, 5939, .91000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.060
Thu Dec 29 07:52:39 EST 2016, 8414, .16000000000000000000, 3, .30000000000000000000, 387, 85, 10, 14, 68, 0.000, 18.590
Thu Dec 29 07:53:45 EST 2016, 3464, .66000000000000000000, 9, .80000000000000000000, 537, 40, 19, 39, 23, 22.053, 18.317
Thu Dec 29 08:05:49 EST 2016, 4701, .03000000000000000000, 2, .17000000000000000000, 425, 51, 12, 33, 79, 324.470, 15.390
Thu Dec 29 08:06:49 EST 2016, 9651, .53000000000000000000, 8, .67000000000000000000, 575, 96, 3, 8, 34, 5.610, 5.813
Thu Dec 29 08:08:00 EST 2016, 7176, .28000000000000000000, 11, .42000000000000000000, 500, 29, 7, 45, 57, 14.120, 12.683
Thu Dec 29 08:08:50 EST 2016, 2226, .78000000000000000000, 5, .92000000000000000000, 350, 74, 17, 20, 12, 6.723, 5.817
Thu Dec 29 08:10:36 EST 2016, 1608, .22000000000000000000, 10, .73000000000000000000, 331, 68, 13, 48, 85, 47.577, 42.270
Thu Dec 29 08:10:51 EST 2016, 6558, .72000000000000000000, 4, .23000000000000000000, 481, 23, 4, 23, 40, 3.870, 3.947
Thu Dec 29 08:12:07 EST 2016, 9033, .47000000000000000000, 1, .98000000000000000000, 556, 91, 8, 36, 63, 17.413, 17.700
