# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 14:32:05 EDT 2017, 9775, 0.380, 9035, 8, 0.500, 485, 40, 5, 27, 82, 6.733, 7.340
Wed Apr 19 14:32:17 EDT 2017, 4825, 0.880, 4036, 3, 0.000, 335, 85, 15, 2, 37, 10.730, 8.680
Wed Apr 19 14:33:00 EDT 2017, 3587, 0.250, 5286, 7, 0.630, 372, 73, 13, 46, 93, 43.397, 42.553
Wed Apr 19 14:33:04 EDT 2017, 8537, 0.750, 286, 2, 0.130, 522, 28, 3, 21, 48, 3.723, 3.850
Wed Apr 19 14:33:12 EDT 2017, 6062, 0.000, 2786, 9, 0.380, 447, 51, 17, 33, 25, 7.863, 7.763
Wed Apr 19 14:33:38 EDT 2017, 1112, 0.500, 7785, 4, 0.880, 597, 96, 8, 8, 70, 24.443, 24.123
Wed Apr 19 14:33:40 EDT 2017, 803, 0.040, 6848, 3, 0.590, 513, 14, 4, 10, 51, 1.380, 1.417
Wed Apr 19 14:34:09 EDT 2017, 5753, 0.540, 1848, 8, 0.090, 363, 59, 13, 35, 96, 27.403, 27.827
Wed Apr 19 14:35:18 EDT 2017, 8228, 0.290, 4348, 1, 0.340, 588, 82, 8, 22, 73, 68.570, 61.193
Wed Apr 19 14:35:30 EDT 2017, 3278, 0.790, 9348, 6, 0.840, 438, 37, 18, 47, 28, 11.703, 11.567
Wed Apr 19 14:35:34 EDT 2017, 4515, 0.410, 599, 5, 0.470, 401, 26, 11, 4, 62, 3.557, 3.260
Wed Apr 19 14:35:35 EDT 2017, 9465, 0.910, 5598, 9, 0.970, 551, 71, 1, 29, 17, 0.623, 0.707
Wed Apr 19 14:36:00 EDT 2017, 6990, 0.160, 8098, 2, 0.720, 326, 93, 15, 16, 39, 24.883, 21.307
Wed Apr 19 14:36:16 EDT 2017, 2040, 0.660, 3098, 7, 0.220, 476, 48, 6, 41, 84, 14.497, 15.477
Wed Apr 19 14:36:17 EDT 2017, 1422, 0.350, 9973, 9, 0.030, 457, 20, 17, 0, 45, 1.587, 1.580
Wed Apr 19 14:36:36 EDT 2017, 6372, 0.850, 4973, 4, 0.530, 307, 65, 7, 25, 90, 16.887, 17.377
Wed Apr 19 14:37:02 EDT 2017, 8847, 0.100, 2473, 6, 0.780, 532, 87, 12, 13, 68, 25.440, 24.310
Wed Apr 19 14:37:04 EDT 2017, 3897, 0.600, 7473, 2, 0.280, 382, 42, 2, 38, 23, 2.060, 2.080
Wed Apr 19 14:37:07 EDT 2017, 2659, 0.220, 3723, 7, 0.910, 419, 31, 10, 7, 56, 3.350, 3.403
Wed Apr 19 14:37:23 EDT 2017, 7609, 0.720, 8723, 3, 0.410, 569, 76, 19, 32, 11, 15.130, 13.893
Wed Apr 19 14:37:29 EDT 2017, 5134, 0.470, 6223, 5, 0.160, 344, 99, 5, 19, 34, 5.893, 6.293
Wed Apr 19 14:39:15 EDT 2017, 184, 0.970, 1224, 1, 0.660, 494, 54, 14, 44, 79, 104.107, 97.463
Wed Apr 19 14:40:31 EDT 2017, 223, 0.020, 3137, 6, 0.140, 599, 83, 11, 46, 87, 72.387, 73.927
Wed Apr 19 14:40:35 EDT 2017, 5173, 0.520, 8137, 1, 0.640, 449, 38, 2, 21, 42, 3.307, 3.490
Wed Apr 19 14:40:38 EDT 2017, 7648, 0.270, 5637, 8, 0.890, 524, 15, 16, 33, 19, 2.263, 2.223
Wed Apr 19 14:40:46 EDT 2017, 2698, 0.770, 638, 4, 0.390, 374, 60, 7, 8, 64, 7.647, 8.047
Wed Apr 19 14:40:52 EDT 2017, 3935, 0.390, 9387, 7, 0.760, 336, 94, 4, 40, 31, 4.967, 5.343
Wed Apr 19 14:41:28 EDT 2017, 8885, 0.890, 4387, 2, 0.260, 486, 49, 14, 15, 76, 36.217, 31.303
Wed Apr 19 14:41:36 EDT 2017, 6410, 0.140, 1888, 9, 0.010, 411, 27, 9, 27, 98, 7.810, 7.830
Wed Apr 19 14:41:56 EDT 2017, 1460, 0.640, 6887, 5, 0.510, 561, 72, 18, 2, 53, 18.457, 15.627
Wed Apr 19 14:43:13 EDT 2017, 2079, 0.330, 13, 2, 0.700, 542, 77, 8, 43, 81, 76.060, 69.430
Wed Apr 19 14:43:19 EDT 2017, 7029, 0.830, 5012, 6, 0.200, 392, 32, 17, 18, 36, 5.993, 5.417
Wed Apr 19 14:43:20 EDT 2017, 9504, 0.080, 7512, 4, 0.450, 467, 10, 3, 30, 14, 0.610, 0.573
Wed Apr 19 14:43:25 EDT 2017, 4554, 0.580, 2512, 9, 0.950, 317, 55, 12, 5, 59, 4.570, 4.600
