# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 11:54:37 EST 2017, 5620, 0.180, 7, 0.310, 350, 45, 13, 4, 31, 8.600, 7.393
Mon Jan  9 11:55:21 EST 2017, 670, 0.680, 3, 0.810, 500, 90, 4, 29, 76, 43.483, 42.847
Mon Jan  9 11:55:27 EST 2017, 515, 0.380, 7, 0.480, 420, 13, 12, 22, 29, 5.477, 5.150
Mon Jan  9 11:55:47 EST 2017, 5465, 0.880, 2, 0.980, 570, 58, 2, 47, 74, 18.963, 19.373
Mon Jan  9 11:55:59 EST 2017, 7940, 0.130, 5, 0.230, 495, 36, 7, 9, 52, 12.053, 10.987
Mon Jan  9 11:59:13 EST 2017, 2990, 0.630, 9, 0.730, 345, 81, 16, 34, 97, 192.563, 171.663
Mon Jan  9 11:59:39 EST 2017, 4228, 0.000, 1, 0.360, 458, 92, 14, 41, 18, 22.873, 20.787
Mon Jan  9 11:59:48 EST 2017, 9178, 0.500, 6, 0.860, 308, 47, 4, 16, 63, 9.520, 9.040
Mon Jan  9 12:00:24 EST 2017, 6703, 0.250, 8, 0.110, 383, 69, 9, 28, 40, 35.073, 33.137
Mon Jan  9 12:00:48 EST 2017, 1753, 0.750, 3, 0.610, 533, 24, 19, 3, 85, 23.850, 17.650
Mon Jan  9 12:00:55 EST 2017, 2371, 0.190, 8, 0.790, 589, 30, 10, 25, 12, 6.787, 6.353
Mon Jan  9 12:00:59 EST 2017, 7321, 0.690, 4, 0.290, 439, 75, 1, 0, 57, 3.007, 3.597
Mon Jan  9 12:01:11 EST 2017, 9796, 0.440, 2, 0.540, 364, 52, 6, 38, 35, 12.327, 11.900
Mon Jan  9 12:03:51 EST 2017, 4846, 0.940, 6, 0.040, 514, 97, 15, 13, 80, 157.887, 122.960
Mon Jan  9 12:04:02 EST 2017, 3609, 0.320, 3, 0.920, 327, 86, 13, 6, 23, 10.997, 8.863
Mon Jan  9 12:04:19 EST 2017, 8559, 0.820, 7, 0.420, 477, 41, 3, 31, 68, 16.673, 16.233
Mon Jan  9 12:04:55 EST 2017, 6084, 0.070, 5, 0.670, 552, 64, 8, 19, 46, 35.483, 32.027
Mon Jan  9 12:05:22 EST 2017, 1134, 0.570, 1, 0.170, 402, 19, 18, 44, 91, 26.057, 25.670
Mon Jan  9 12:05:38 EST 2017, 825, 0.100, 4, 0.080, 355, 38, 3, 33, 99, 15.807, 16.133
Mon Jan  9 12:06:35 EST 2017, 5775, 0.600, 9, 0.580, 505, 83, 12, 8, 54, 55.590, 42.883
Mon Jan  9 12:07:37 EST 2017, 8250, 0.350, 7, 0.330, 580, 16, 17, 45, 77, 62.620, 58.537
