# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Wed Jan 11 02:17:31 EST 2017, 5320, 0.090, 8, 0.860, 369, 12, 6, 4, 74, 1.077, 1.060
Wed Jan 11 02:20:02 EST 2017, 370, 0.590, 2, 0.360, 519, 57, 16, 29, 29, 31.033, 22.677
Wed Jan 11 02:23:39 EST 2017, 293, 0.190, 8, 0.240, 376, 73, 2, 40, 56, 5.527, 5.513
Wed Jan 11 02:25:39 EST 2017, 5243, 0.690, 2, 0.740, 526, 28, 11, 15, 11, 1.540, 1.590
Wed Jan 11 02:32:54 EST 2017, 7718, 0.440, 5, 0.490, 451, 96, 16, 27, 79, 87.057, 0.000
Wed Jan 11 02:33:45 EST 2017, 2768, 0.940, 11, 0.990, 301, 51, 7, 2, 34, 2.173, 2.107
Wed Jan 11 02:35:50 EST 2017, 4005, 0.320, 1, 0.120, 488, 39, 4, 21, 68, 3.390, 3.177
Wed Jan 11 02:38:12 EST 2017, 8955, 0.820, 7, 0.620, 338, 84, 14, 46, 23, 22.647, 23.240
Wed Jan 11 02:40:38 EST 2017, 6480, 0.070, 10, 0.370, 413, 17, 18, 9, 90, 7.737, 39.847
Wed Jan 11 02:42:15 EST 2017, 1530, 0.570, 4, 0.870, 563, 62, 9, 34, 45, 21.950, 21.877
Wed Jan 11 02:43:58 EST 2017, 2149, 0.380, 11, 0.550, 544, 56, 1, 12, 73, 2.647, 2.590
Wed Jan 11 02:45:59 EST 2017, 7099, 0.880, 5, 0.050, 394, 11, 10, 37, 28, 0.077, 0.083
Wed Jan 11 02:48:26 EST 2017, 9574, 0.130, 2, 0.800, 319, 79, 15, 24, 96, 23.637, 24.130
Wed Jan 11 02:50:17 EST 2017, 4624, 0.630, 8, 0.300, 469, 34, 5, 49, 51, 10.997, 11.200
Wed Jan 11 02:52:09 EST 2017, 3387, 0.010, 3, 0.680, 357, 45, 3, 31, 62, 2.920, 2.930
Wed Jan 11 02:54:15 EST 2017, 8337, 0.510, 9, 0.180, 507, 90, 12, 6, 17, 7.103, 7.210
Wed Jan 11 02:56:42 EST 2017, 5862, 0.260, 6, 0.930, 582, 23, 17, 43, 84, 29.697, 30.407
Wed Jan 11 03:00:23 EST 2017, 912, 0.760, 0, 0.430, 432, 68, 8, 18, 39, 12.880, 12.927
Wed Jan 11 03:04:35 EST 2017, 1221, 0.290, 4, 0.330, 310, 93, 12, 4, 37, 6.430, 11.920
Wed Jan 11 03:07:20 EST 2017, 6171, 0.790, 10, 0.830, 460, 48, 2, 29, 82, 7.573, 7.487
Wed Jan 11 03:08:21 EST 2017, 8646, 0.040, 7, 0.080, 535, 70, 7, 16, 14, 2.757, 2.813
Wed Jan 11 03:10:27 EST 2017, 3696, 0.540, 1, 0.580, 385, 25, 17, 41, 59, 9.650, 10.693
Wed Jan 11 03:14:33 EST 2017, 4933, 0.160, 9, 0.460, 573, 14, 14, 35, 48, 8.030, 8.610
