# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 12:54:05 EST 2017, 3594, 0.440, 8, 0.420, 429, 16, 15, 30, 96, 41.280, 43.743
Mon Jan  9 12:54:26 EST 2017, 8544, 0.940, 3, 0.920, 579, 61, 6, 5, 51, 20.117, 17.113
Mon Jan  9 12:54:30 EST 2017, 6069, 0.190, 1, 0.170, 504, 39, 1, 42, 73, 3.463, 3.430
Mon Jan  9 12:54:57 EST 2017, 1119, 0.690, 5, 0.670, 354, 84, 10, 17, 28, 23.040, 24.557
Mon Jan  9 12:55:10 EST 2017, 810, 0.220, 9, 0.580, 401, 64, 10, 3, 26, 9.170, 12.510
Mon Jan  9 12:56:12 EST 2017, 5760, 0.720, 4, 0.080, 551, 19, 19, 28, 71, 56.330, 53.413
Mon Jan  9 12:57:27 EST 2017, 8235, 0.470, 2, 0.830, 476, 86, 15, 16, 48, 67.490, 65.590
Mon Jan  9 12:58:12 EST 2017, 3285, 0.970, 6, 0.330, 326, 41, 5, 41, 93, 39.143, 39.267
Mon Jan  9 12:58:24 EST 2017, 4523, 0.350, 3, 0.700, 514, 53, 7, 34, 14, 9.950, 12.157
Mon Jan  9 13:00:11 EST 2017, 9473, 0.850, 7, 0.200, 364, 98, 17, 9, 59, 96.623, 99.370
Mon Jan  9 13:00:46 EST 2017, 6998, 0.100, 5, 0.950, 439, 30, 12, 47, 37, 31.023, 32.190
Mon Jan  9 13:01:11 EST 2017, 2048, 0.600, 1, 0.450, 589, 75, 3, 22, 82, 20.900, 22.513
Mon Jan  9 13:01:59 EST 2017, 1429, 0.410, 7, 0.140, 532, 70, 9, 44, 20, 42.800, 39.053
Mon Jan  9 13:02:29 EST 2017, 6379, 0.910, 2, 0.640, 382, 25, 18, 19, 65, 25.343, 28.880
Mon Jan  9 13:03:54 EST 2017, 8854, 0.160, 5, 0.390, 307, 92, 13, 31, 43, 73.387, 80.767
Mon Jan  9 13:04:16 EST 2017, 3904, 0.660, 9, 0.890, 457, 47, 4, 6, 88, 19.360, 16.940
Mon Jan  9 13:04:20 EST 2017, 2666, 0.040, 1, 0.020, 345, 36, 6, 12, 31, 2.927, 2.933
Mon Jan  9 13:09:24 EST 2017, 7616, 0.540, 6, 0.520, 495, 81, 16, 37, 76, 281.273, 279.697
Mon Jan  9 13:09:33 EST 2017, 5141, 0.290, 8, 0.270, 570, 13, 11, 0, 54, 6.087, 6.783
Mon Jan  9 13:09:54 EST 2017, 191, 0.790, 3, 0.770, 420, 58, 2, 25, 99, 19.640, 19.220
Mon Jan  9 13:12:17 EST 2017, 230, 0.200, 1, 0.330, 576, 84, 12, 33, 96, 122.387, 131.617
Mon Jan  9 13:12:24 EST 2017, 5180, 0.700, 6, 0.830, 426, 39, 3, 8, 51, 6.910, 5.053
Mon Jan  9 13:13:55 EST 2017, 7655, 0.450, 8, 0.080, 351, 61, 8, 45, 73, 72.230, 84.433
Mon Jan  9 13:14:08 EST 2017, 2705, 0.950, 4, 0.580, 501, 16, 17, 20, 28, 10.367, 9.373
Mon Jan  9 13:14:21 EST 2017, 3943, 0.330, 7, 0.460, 313, 28, 10, 1, 84, 11.793, 12.137
Mon Jan  9 13:14:26 EST 2017, 8893, 0.830, 3, 0.960, 463, 73, 1, 26, 39, 4.400, 5.117
Mon Jan  9 13:14:53 EST 2017, 6418, 0.080, 5, 0.210, 538, 50, 5, 14, 62, 22.540, 24.833
Mon Jan  9 13:15:48 EST 2017, 1468, 0.580, 9, 0.710, 388, 95, 15, 39, 17, 49.803, 48.883
Mon Jan  9 13:18:15 EST 2017, 2086, 0.390, 3, 0.900, 444, 90, 14, 17, 79, 142.677, 127.607
Mon Jan  9 13:18:41 EST 2017, 7036, 0.890, 8, 0.400, 594, 45, 4, 42, 34, 23.273, 19.997
Mon Jan  9 13:19:22 EST 2017, 9511, 0.140, 5, 0.650, 519, 67, 9, 4, 56, 35.587, 36.300
Mon Jan  9 13:19:25 EST 2017, 4561, 0.640, 1, 0.150, 369, 22, 18, 29, 11, 3.050, 3.100
Mon Jan  9 13:20:06 EST 2017, 3324, 0.020, 9, 0.770, 482, 11, 11, 48, 90, 39.480, 32.563
Mon Jan  9 13:20:14 EST 2017, 8274, 0.520, 4, 0.270, 332, 56, 2, 23, 45, 7.237, 6.150
Mon Jan  9 13:20:37 EST 2017, 5799, 0.270, 2, 0.520, 407, 33, 6, 36, 67, 22.163, 18.687
Mon Jan  9 13:21:23 EST 2017, 849, 0.770, 7, 0.020, 557, 78, 16, 11, 22, 42.267, 42.143
Mon Jan  9 13:21:40 EST 2017, 1158, 0.300, 7, 0.240, 491, 59, 4, 22, 31, 15.407, 13.177
Mon Jan  9 13:22:06 EST 2017, 6108, 0.800, 3, 0.740, 341, 14, 13, 47, 76, 22.993, 24.070
Mon Jan  9 13:22:40 EST 2017, 8583, 0.050, 1, 0.490, 416, 81, 18, 9, 53, 29.687, 32.960
Mon Jan  9 13:24:09 EST 2017, 3633, 0.550, 5, 0.990, 566, 36, 8, 34, 98, 73.180, 84.803
Mon Jan  9 13:24:11 EST 2017, 4871, 0.170, 4, 0.110, 379, 47, 1, 40, 20, 1.887, 2.247
Mon Jan  9 13:26:29 EST 2017, 9821, 0.670, 9, 0.610, 529, 92, 11, 15, 65, 111.830, 130.217
Mon Jan  9 13:27:05 EST 2017, 7346, 0.420, 6, 0.360, 454, 25, 15, 28, 42, 29.247, 32.010
Mon Jan  9 13:27:23 EST 2017, 2396, 0.920, 2, 0.860, 304, 70, 6, 3, 87, 16.337, 16.720
Mon Jan  9 13:27:32 EST 2017, 1777, 0.110, 6, 0.550, 360, 76, 5, 25, 14, 7.867, 7.867
Mon Jan  9 13:27:42 EST 2017, 6727, 0.610, 1, 0.050, 510, 31, 14, 0, 59, 9.350, 8.403
Mon Jan  9 13:31:05 EST 2017, 9202, 0.360, 3, 0.800, 585, 98, 19, 37, 37, 184.200, 186.333
Mon Jan  9 13:32:05 EST 2017, 4252, 0.860, 8, 0.300, 435, 53, 9, 12, 82, 45.367, 57.473
Mon Jan  9 13:32:07 EST 2017, 3014, 0.480, 2, 0.680, 547, 42, 2, 6, 25, 2.100, 1.570
Mon Jan  9 13:34:51 EST 2017, 7964, 0.980, 7, 0.180, 397, 87, 12, 31, 70, 139.543, 161.633
Mon Jan  9 13:35:08 EST 2017, 5489, 0.230, 9, 0.930, 322, 19, 17, 19, 48, 15.993, 14.590
Mon Jan  9 13:37:24 EST 2017, 539, 0.730, 5, 0.430, 472, 64, 7, 44, 93, 117.067, 123.350
Mon Jan  9 13:37:52 EST 2017, 694, 0.440, 5, 0.760, 412, 52, 17, 1, 44, 27.090, 23.270
Mon Jan  9 13:39:22 EST 2017, 5644, 0.940, 1, 0.260, 562, 97, 8, 26, 89, 78.623, 82.143
Mon Jan  9 13:39:24 EST 2017, 8119, 0.190, 3, 0.510, 487, 29, 3, 13, 21, 1.877, 1.850
Mon Jan  9 13:41:50 EST 2017, 3169, 0.690, 8, 0.010, 337, 74, 13, 38, 66, 102.867, 132.757
Mon Jan  9 13:42:45 EST 2017, 4407, 0.060, 2, 0.880, 524, 63, 15, 32, 32, 48.990, 49.490
Mon Jan  9 13:42:50 EST 2017, 9357, 0.560, 6, 0.380, 374, 18, 6, 7, 77, 5.487, 5.430
Mon Jan  9 13:42:53 EST 2017, 6882, 0.310, 9, 0.630, 449, 85, 1, 44, 10, 2.113, 2.133
Mon Jan  9 13:43:39 EST 2017, 1932, 0.810, 4, 0.130, 599, 40, 10, 19, 55, 41.050, 39.447
Mon Jan  9 13:45:19 EST 2017, 2550, 0.130, 8, 0.440, 543, 35, 19, 47, 38, 84.077, 95.583
Mon Jan  9 13:46:58 EST 2017, 7500, 0.630, 4, 0.940, 393, 80, 9, 22, 83, 91.280, 86.423
Mon Jan  9 13:46:59 EST 2017, 9975, 0.380, 1, 0.190, 318, 12, 4, 35, 15, 0.587, 0.513
Mon Jan  9 13:48:00 EST 2017, 5025, 0.880, 6, 0.690, 468, 57, 14, 10, 60, 51.693, 58.440
Mon Jan  9 13:49:09 EST 2017, 3788, 0.250, 5, 0.320, 355, 69, 16, 16, 49, 67.563, 60.710
Mon Jan  9 13:50:08 EST 2017, 8738, 0.750, 9, 0.820, 505, 24, 7, 41, 94, 45.197, 56.110
Mon Jan  9 13:50:15 EST 2017, 6263, 0.000, 7, 0.070, 580, 91, 2, 4, 27, 5.893, 6.583
Mon Jan  9 13:51:14 EST 2017, 1313, 0.500, 2, 0.570, 430, 46, 12, 29, 72, 54.600, 50.593
