# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 11:05:55 EDT 2017, 2072, 0.010, 5976, 3, 0.900, 406, 46, 11, 27, 56, 35.047, 38.947
Sun Apr 30 11:05:56 EDT 2017, 7022, 0.510, 977, 7, 0.400, 556, 91, 1, 2, 11, 0.843, 1.427
Sun Apr 30 11:06:27 EDT 2017, 9497, 0.260, 3477, 1, 0.150, 331, 68, 16, 39, 33, 25.913, 30.347
Sun Apr 30 11:06:43 EDT 2017, 4547, 0.760, 8476, 5, 0.650, 481, 23, 6, 14, 78, 12.333, 15.740
Sun Apr 30 11:06:58 EDT 2017, 3309, 0.390, 2227, 4, 0.020, 519, 34, 4, 33, 44, 11.807, 14.447
Sun Apr 30 11:08:57 EDT 2017, 8259, 0.890, 7226, 8, 0.520, 369, 79, 13, 8, 89, 91.963, 115.870
Sun Apr 30 11:10:25 EDT 2017, 5784, 0.140, 9726, 2, 0.770, 594, 57, 9, 45, 67, 76.230, 86.970
Sun Apr 30 11:10:33 EDT 2017, 834, 0.640, 4727, 6, 0.270, 444, 12, 18, 20, 22, 5.867, 7.613
Sun Apr 30 11:14:01 EDT 2017, 1144, 0.170, 664, 6, 0.240, 359, 99, 13, 22, 98, 170.010, 204.830
Sun Apr 30 11:14:13 EDT 2017, 6094, 0.670, 5664, 1, 0.740, 509, 54, 3, 47, 53, 10.843, 12.227
Sun Apr 30 11:14:28 EDT 2017, 8569, 0.420, 8164, 8, 0.990, 434, 32, 17, 9, 30, 12.723, 14.123
Sun Apr 30 11:16:42 EDT 2017, 3619, 0.920, 3164, 4, 0.490, 584, 77, 8, 34, 75, 113.797, 131.203
Sun Apr 30 11:16:45 EDT 2017, 4856, 0.300, 6914, 7, 0.870, 547, 88, 1, 16, 19, 2.720, 3.310
Sun Apr 30 11:17:39 EDT 2017, 9806, 0.800, 1914, 3, 0.370, 397, 43, 10, 41, 64, 44.963, 53.673
Sun Apr 30 11:17:52 EDT 2017, 7331, 0.050, 4414, 9, 0.120, 472, 20, 6, 3, 86, 7.843, 12.123
Sun Apr 30 11:18:51 EDT 2017, 2381, 0.550, 9414, 5, 0.620, 322, 65, 15, 28, 41, 47.417, 58.400
Sun Apr 30 11:19:39 EDT 2017, 1762, 0.480, 2539, 2, 0.680, 303, 94, 7, 13, 92, 37.120, 45.467
Sun Apr 30 11:21:18 EDT 2017, 6712, 0.980, 7539, 6, 0.180, 453, 49, 16, 38, 47, 80.737, 97.517
Sun Apr 30 11:21:19 EDT 2017, 9187, 0.230, 5039, 4, 0.430, 378, 26, 2, 0, 25, 0.710, 1.037
Sun Apr 30 11:23:24 EDT 2017, 4237, 0.730, 40, 9, 0.930, 528, 71, 12, 25, 70, 111.707, 122.203
Sun Apr 30 11:23:45 EDT 2017, 3000, 0.110, 8789, 1, 0.300, 566, 82, 19, 19, 13, 14.370, 19.143
Sun Apr 30 11:24:30 EDT 2017, 7950, 0.610, 3789, 5, 0.800, 416, 37, 9, 44, 58, 39.973, 44.120
Sun Apr 30 11:24:48 EDT 2017, 5475, 0.360, 1289, 3, 0.550, 491, 15, 14, 6, 81, 11.923, 17.370
Sun Apr 30 11:25:04 EDT 2017, 525, 0.860, 6289, 8, 0.050, 341, 60, 4, 31, 36, 12.470, 15.153
Sun Apr 30 11:25:40 EDT 2017, 680, 0.060, 3320, 4, 0.760, 542, 27, 16, 9, 65, 27.260, 35.710
Sun Apr 30 11:26:01 EDT 2017, 5630, 0.560, 8320, 9, 0.260, 392, 72, 7, 34, 20, 17.503, 20.807
Sun Apr 30 11:27:10 EDT 2017, 8105, 0.310, 5820, 2, 0.010, 467, 95, 11, 21, 43, 52.353, 68.560
Sun Apr 30 11:27:28 EDT 2017, 3155, 0.810, 821, 6, 0.510, 317, 50, 2, 46, 88, 16.667, 18.103
Sun Apr 30 11:27:34 EDT 2017, 4392, 0.440, 9570, 3, 0.130, 355, 16, 9, 2, 54, 3.073, 4.980
Sun Apr 30 11:32:06 EDT 2017, 9342, 0.940, 4570, 7, 0.630, 505, 61, 18, 27, 99, 233.883, 267.540
