# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 10:52:52 EDT 2017, 0.400, 125, 23, 5, 23, 589, 3, 36, 23, 49, 11.763, 1.967
Mon Jul  3 10:53:00 EDT 2017, 0.900, 145, 28, 9, 12, 439, 13, 16, 8, 29, 7.357, 1.223
Mon Jul  3 10:54:19 EDT 2017, 0.650, 135, 26, 3, 17, 514, 18, 46, 16, 19, 78.310, 3.643
Mon Jul  3 10:54:32 EDT 2017, 0.150, 155, 21, 7, 28, 364, 8, 26, 1, 39, 13.213, 1.673
Mon Jul  3 10:54:33 EDT 2017, 0.210, 123, 26, 9, 27, 345, 2, 49, 25, 12, 0.560, 0.377
Mon Jul  3 10:55:12 EDT 2017, 0.710, 143, 21, 5, 16, 495, 12, 29, 10, 32, 38.577, 2.857
Mon Jul  3 10:58:03 EDT 2017, 0.960, 133, 24, 7, 10, 420, 16, 39, 18, 42, 170.537, 5.033
Mon Jul  3 10:58:05 EDT 2017, 0.460, 153, 29, 3, 21, 570, 7, 19, 3, 22, 2.720, 1.043
Mon Jul  3 10:58:16 EDT 2017, 0.330, 138, 20, 8, 13, 532, 5, 24, 29, 47, 10.707, 1.760
Mon Jul  3 10:59:14 EDT 2017, 0.830, 158, 25, 4, 24, 382, 14, 44, 14, 27, 57.313, 3.073
Mon Jul  3 10:59:20 EDT 2017, 0.580, 128, 27, 6, 29, 457, 19, 14, 22, 17, 5.420, 1.153
Mon Jul  3 10:59:47 EDT 2017, 0.080, 148, 22, 2, 18, 307, 9, 34, 7, 37, 26.620, 2.050
Mon Jul  3 11:00:36 EDT 2017, 0.110, 129, 21, 3, 8, 392, 11, 42, 4, 28, 49.303, 2.837
Mon Jul  3 11:00:38 EDT 2017, 0.610, 149, 26, 7, 19, 542, 2, 22, 19, 48, 1.787, 0.957
Mon Jul  3 11:00:47 EDT 2017, 0.860, 139, 28, 5, 25, 317, 6, 32, 11, 38, 9.107, 1.270
Mon Jul  3 11:00:50 EDT 2017, 0.360, 159, 23, 9, 14, 467, 16, 12, 26, 18, 2.730, 0.887
Mon Jul  3 11:01:36 EDT 2017, 0.490, 134, 25, 2, 27, 504, 13, 27, 0, 33, 44.823, 2.893
Mon Jul  3 11:01:37 EDT 2017, 0.990, 154, 20, 6, 16, 354, 4, 47, 15, 13, 1.617, 0.803
Mon Jul  3 11:01:43 EDT 2017, 0.740, 124, 22, 4, 11, 579, 9, 17, 7, 23, 5.563, 1.423
Mon Jul  3 11:04:47 EDT 2017, 0.240, 144, 27, 8, 22, 429, 18, 37, 22, 43, 183.303, 5.333
Mon Jul  3 11:04:53 EDT 2017, 0.180, 137, 24, 6, 21, 448, 12, 15, 2, 26, 6.057, 1.373
Mon Jul  3 11:05:01 EDT 2017, 0.680, 157, 29, 2, 10, 598, 3, 35, 17, 46, 7.417, 1.817
Mon Jul  3 11:05:12 EDT 2017, 0.930, 127, 27, 8, 15, 373, 8, 25, 9, 36, 10.967, 1.367
Mon Jul  3 11:05:59 EDT 2017, 0.430, 147, 22, 4, 26, 523, 17, 45, 24, 16, 47.280, 3.063
Mon Jul  3 11:06:55 EDT 2017, 0.300, 122, 28, 7, 18, 485, 15, 30, 6, 31, 55.620, 2.930
Mon Jul  3 11:06:56 EDT 2017, 0.800, 142, 23, 3, 29, 335, 5, 10, 21, 11, 0.230, 0.237
Mon Jul  3 11:07:21 EDT 2017, 0.550, 132, 20, 9, 23, 560, 10, 40, 13, 21, 25.257, 2.467
Mon Jul  3 11:08:14 EDT 2017, 0.050, 152, 25, 5, 12, 410, 19, 20, 28, 41, 52.473, 2.867
Mon Jul  3 11:08:16 EDT 2017, 0.040, 120, 23, 8, 29, 509, 5, 36, 14, 13, 2.210, 0.960
Mon Jul  3 11:08:29 EDT 2017, 0.540, 140, 28, 4, 18, 359, 15, 16, 29, 33, 12.000, 1.357
Mon Jul  3 11:10:50 EDT 2017, 0.790, 130, 26, 6, 13, 584, 10, 46, 6, 43, 141.343, 5.653
Mon Jul  3 11:10:51 EDT 2017, 0.290, 150, 21, 2, 24, 434, 1, 26, 21, 23, 0.493, 0.467
Mon Jul  3 11:10:55 EDT 2017, 0.410, 135, 27, 9, 10, 396, 8, 11, 10, 48, 3.947, 1.090
Mon Jul  3 11:12:03 EDT 2017, 0.910, 155, 22, 5, 21, 546, 17, 31, 25, 28, 67.227, 3.730
Mon Jul  3 11:12:08 EDT 2017, 0.660, 125, 20, 7, 26, 321, 13, 21, 2, 18, 5.613, 1.080
Mon Jul  3 11:12:15 EDT 2017, 0.160, 145, 25, 3, 15, 471, 3, 41, 17, 38, 6.660, 1.633
Mon Jul  3 11:12:16 EDT 2017, 0.220, 132, 21, 5, 17, 453, 7, 23, 8, 10, 1.093, 0.510
Mon Jul  3 11:13:17 EDT 2017, 0.720, 152, 26, 9, 28, 303, 16, 43, 23, 30, 59.610, 2.577
Mon Jul  3 11:13:28 EDT 2017, 0.970, 122, 29, 3, 22, 528, 11, 13, 0, 40, 10.957, 1.573
Mon Jul  3 11:13:29 EDT 2017, 0.470, 142, 24, 7, 11, 378, 2, 33, 15, 20, 0.777, 0.563
Mon Jul  3 11:15:16 EDT 2017, 0.350, 127, 25, 4, 20, 415, 9, 48, 12, 45, 106.770, 4.363
Mon Jul  3 11:16:07 EDT 2017, 0.850, 147, 20, 8, 9, 565, 18, 28, 27, 25, 51.237, 3.320
Mon Jul  3 11:16:22 EDT 2017, 0.600, 137, 23, 2, 14, 340, 14, 38, 4, 15, 14.673, 1.633
Mon Jul  3 11:16:24 EDT 2017, 0.100, 157, 28, 6, 25, 490, 4, 18, 19, 35, 1.700, 0.817
Mon Jul  3 11:17:18 EDT 2017, 0.070, 139, 27, 7, 23, 574, 16, 29, 20, 29, 53.967, 3.203
Mon Jul  3 11:18:12 EDT 2017, 0.570, 159, 22, 3, 12, 424, 6, 49, 5, 49, 53.123, 3.610
Mon Jul  3 11:18:13 EDT 2017, 0.820, 129, 24, 9, 17, 499, 1, 19, 28, 39, 0.577, 0.560
Mon Jul  3 11:18:24 EDT 2017, 0.320, 149, 29, 5, 28, 349, 11, 39, 13, 19, 11.163, 1.450
Mon Jul  3 11:21:19 EDT 2017, 0.440, 124, 20, 6, 15, 312, 18, 44, 16, 34, 174.950, 4.287
Mon Jul  3 11:21:22 EDT 2017, 0.940, 144, 25, 2, 26, 462, 8, 24, 1, 14, 2.377, 0.857
Mon Jul  3 11:21:25 EDT 2017, 0.690, 134, 28, 8, 20, 387, 4, 34, 24, 24, 2.613, 0.963
Mon Jul  3 11:21:44 EDT 2017, 0.190, 154, 23, 4, 9, 537, 13, 14, 9, 44, 19.423, 2.140
Mon Jul  3 11:22:54 EDT 2017, 0.130, 126, 29, 2, 11, 556, 17, 32, 15, 26, 69.953, 3.417
Mon Jul  3 11:22:58 EDT 2017, 0.630, 146, 24, 6, 22, 406, 7, 12, 0, 46, 3.677, 1.130
Mon Jul  3 11:23:02 EDT 2017, 0.880, 136, 21, 4, 27, 481, 2, 42, 22, 36, 3.633, 1.270
Mon Jul  3 11:23:05 EDT 2017, 0.380, 156, 26, 8, 16, 331, 12, 22, 7, 16, 2.937, 0.907
Mon Jul  3 11:23:31 EDT 2017, 0.260, 131, 22, 3, 24, 368, 19, 17, 18, 31, 25.720, 1.893
Mon Jul  3 11:23:36 EDT 2017, 0.760, 151, 27, 7, 13, 518, 10, 37, 3, 11, 4.407, 1.083
Mon Jul  3 11:23:38 EDT 2017, 0.510, 121, 25, 5, 8, 443, 5, 27, 26, 21, 2.627, 0.900
Mon Jul  3 11:28:04 EDT 2017, 0.010, 141, 20, 9, 19, 593, 14, 47, 11, 41, 264.870, 7.683
Mon Jul  3 11:28:08 EDT 2017, 0.010, 138, 22, 5, 9, 491, 2, 40, 12, 42, 4.117, 1.397
Mon Jul  3 11:28:13 EDT 2017, 0.510, 158, 27, 9, 20, 341, 12, 20, 27, 22, 4.243, 0.743
Mon Jul  3 11:28:25 EDT 2017, 0.760, 128, 25, 3, 25, 566, 16, 30, 4, 12, 12.177, 1.587
Mon Jul  3 11:28:27 EDT 2017, 0.260, 148, 20, 7, 14, 416, 7, 10, 19, 32, 1.537, 0.583
Mon Jul  3 11:28:28 EDT 2017, 0.380, 123, 29, 4, 28, 379, 5, 25, 8, 17, 1.393, 0.583
Mon Jul  3 11:31:12 EDT 2017, 0.880, 143, 24, 8, 17, 529, 14, 45, 23, 37, 162.503, 5.593
Mon Jul  3 11:31:53 EDT 2017, 0.630, 133, 21, 2, 12, 304, 19, 15, 1, 47, 41.227, 2.127
Mon Jul  3 11:32:10 EDT 2017, 0.130, 153, 26, 6, 23, 454, 9, 35, 16, 27, 16.427, 1.967
Mon Jul  3 11:32:10 EDT 2017, 0.200, 125, 20, 8, 21, 472, 1, 18, 10, 40, 0.460, 0.507
Mon Jul  3 11:32:23 EDT 2017, 0.700, 145, 25, 4, 10, 322, 11, 38, 25, 20, 12.877, 1.480
Mon Jul  3 11:32:28 EDT 2017, 0.950, 135, 28, 6, 16, 547, 15, 28, 2, 10, 5.060, 1.117
Mon Jul  3 11:32:47 EDT 2017, 0.450, 155, 23, 2, 27, 397, 6, 48, 17, 30, 18.410, 2.180
Mon Jul  3 11:32:48 EDT 2017, 0.320, 130, 27, 9, 18, 435, 3, 33, 14, 15, 0.933, 0.540
Mon Jul  3 11:33:00 EDT 2017, 0.820, 150, 22, 5, 29, 585, 13, 13, 29, 35, 11.937, 1.697
Mon Jul  3 11:38:16 EDT 2017, 0.570, 120, 24, 7, 24, 360, 18, 43, 6, 45, 313.830, 6.097
Mon Jul  3 11:38:22 EDT 2017, 0.070, 140, 29, 3, 13, 510, 8, 23, 21, 25, 6.113, 1.383
