# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 19:00:56 EDT 2017, 0.320, 6, 8, 0.600, 2, 5, 42, 412, 84, 16, 21, 35, 18.657, 18.293
Mon Jun 26 19:01:10 EDT 2017, 0.450, 3, 2, 0.480, 5, 6, 30, 300, 28, 9, 40, 69, 13.747, 11.823
Mon Jun 26 19:01:25 EDT 2017, 0.950, 7, 7, 0.980, 1, 2, 75, 450, 73, 18, 15, 24, 14.390, 13.497
Mon Jun 26 19:01:36 EDT 2017, 0.700, 5, 9, 0.230, 3, 9, 98, 375, 50, 14, 27, 47, 11.057, 10.740
Mon Jun 26 19:02:10 EDT 2017, 0.200, 9, 5, 0.730, 7, 4, 53, 525, 95, 4, 2, 92, 32.300, 31.053
Mon Jun 26 19:02:19 EDT 2017, 0.140, 1, 7, 0.920, 9, 5, 14, 394, 22, 12, 5, 86, 9.420, 8.967
Mon Jun 26 19:02:31 EDT 2017, 0.640, 5, 3, 0.420, 4, 9, 59, 544, 67, 3, 30, 41, 11.170, 10.133
Mon Jun 26 19:02:39 EDT 2017, 0.890, 3, 1, 0.670, 2, 2, 81, 319, 45, 8, 18, 18, 7.423, 6.797
Mon Jun 26 19:03:47 EDT 2017, 0.390, 8, 5, 0.170, 7, 7, 36, 469, 90, 17, 43, 63, 66.213, 63.767
Mon Jun 26 19:03:52 EDT 2017, 0.260, 4, 4, 0.790, 1, 6, 25, 581, 11, 10, 24, 52, 5.147, 4.567
Mon Jun 26 19:04:33 EDT 2017, 0.760, 9, 9, 0.290, 6, 1, 70, 431, 56, 19, 49, 97, 40.303, 40.367
Mon Jun 26 19:04:56 EDT 2017, 0.510, 2, 6, 0.540, 8, 8, 92, 506, 33, 15, 11, 75, 22.267, 21.243
Mon Jun 26 19:05:09 EDT 2017, 0.010, 7, 2, 0.040, 3, 3, 47, 356, 78, 5, 36, 30, 12.497, 10.363
Mon Jun 26 19:05:25 EDT 2017, 0.020, 1, 6, 0.410, 6, 4, 72, 419, 50, 14, 18, 46, 15.620, 15.180
Mon Jun 26 19:06:31 EDT 2017, 0.520, 5, 2, 0.910, 2, 9, 27, 569, 95, 4, 43, 91, 65.197, 58.397
Mon Jun 26 19:06:40 EDT 2017, 0.770, 3, 4, 0.160, 4, 2, 49, 344, 27, 9, 6, 68, 9.540, 8.760
Mon Jun 26 19:06:55 EDT 2017, 0.270, 7, 8, 0.660, 9, 6, 94, 494, 72, 19, 31, 23, 14.263, 14.003
Mon Jun 26 19:07:36 EDT 2017, 0.390, 4, 1, 0.280, 3, 5, 61, 532, 38, 7, 12, 80, 40.627, 38.373
Mon Jun 26 19:08:01 EDT 2017, 0.890, 9, 5, 0.780, 8, 1, 16, 382, 83, 16, 37, 35, 24.607, 23.473
Mon Jun 26 19:08:02 EDT 2017, 0.640, 2, 7, 0.030, 5, 7, 38, 457, 16, 12, 24, 12, 1.230, 1.117
Mon Jun 26 19:08:08 EDT 2017, 0.140, 6, 3, 0.530, 1, 3, 83, 307, 61, 2, 49, 57, 5.873, 5.200
Mon Jun 26 19:08:22 EDT 2017, 0.210, 4, 9, 0.850, 3, 4, 66, 476, 33, 13, 46, 74, 13.360, 13.253
