# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 09:50:59 EST 2017, 7068, 0.290, 7, 0.980, 468, 80, 11, 23, 47, 63.097, 60.453
Mon Jan  9 09:51:05 EST 2017, 2118, 0.790, 3, 0.480, 318, 35, 1, 48, 92, 5.330, 5.357
Mon Jan  9 09:51:17 EST 2017, 1499, 0.230, 5, 0.160, 374, 41, 10, 20, 30, 12.353, 12.627
Mon Jan  9 09:53:47 EST 2017, 6449, 0.730, 1, 0.660, 524, 86, 19, 45, 75, 144.557, 144.007
Mon Jan  9 09:53:59 EST 2017, 8924, 0.480, 3, 0.410, 599, 18, 14, 7, 53, 11.330, 10.927
Mon Jan  9 09:54:57 EST 2017, 3974, 0.980, 8, 0.910, 449, 63, 5, 32, 98, 57.530, 57.987
Mon Jan  9 09:55:15 EST 2017, 2736, 0.360, 2, 0.040, 561, 74, 7, 39, 19, 16.727, 17.213
Mon Jan  9 09:55:46 EST 2017, 7686, 0.860, 7, 0.540, 411, 29, 17, 14, 64, 30.937, 30.317
Mon Jan  9 09:56:45 EST 2017, 5211, 0.110, 9, 0.290, 336, 97, 12, 26, 41, 57.293, 58.447
Mon Jan  9 09:56:54 EST 2017, 261, 0.610, 4, 0.790, 486, 52, 3, 1, 86, 8.580, 8.727
Mon Jan  9 09:57:22 EST 2017, 339, 0.210, 9, 0.660, 419, 36, 15, 18, 46, 26.950, 27.153
Mon Jan  9 09:59:02 EST 2017, 5289, 0.710, 4, 0.160, 569, 81, 5, 43, 91, 100.063, 96.657
Mon Jan  9 09:59:03 EST 2017, 7764, 0.460, 2, 0.910, 494, 13, 1, 5, 24, 0.340, 0.333
Mon Jan  9 09:59:57 EST 2017, 2814, 0.960, 7, 0.410, 344, 58, 10, 30, 69, 53.480, 53.860
Mon Jan  9 10:01:23 EST 2017, 4051, 0.330, 3, 0.530, 456, 69, 17, 49, 35, 82.360, 84.600
Mon Jan  9 10:01:40 EST 2017, 9001, 0.830, 8, 0.030, 306, 24, 8, 24, 80, 15.747, 15.827
Mon Jan  9 10:01:46 EST 2017, 6526, 0.080, 5, 0.780, 381, 92, 3, 37, 13, 5.943, 5.850
Mon Jan  9 10:02:04 EST 2017, 1576, 0.580, 1, 0.280, 531, 47, 13, 12, 58, 18.297, 18.230
Mon Jan  9 10:03:29 EST 2017, 2195, 0.390, 7, 0.090, 587, 52, 16, 33, 41, 83.887, 83.217
Mon Jan  9 10:04:15 EST 2017, 7145, 0.890, 3, 0.590, 437, 97, 7, 8, 86, 46.583, 46.327
Mon Jan  9 10:04:18 EST 2017, 9620, 0.140, 5, 0.340, 362, 30, 2, 46, 18, 2.157, 2.173
Mon Jan  9 10:05:45 EST 2017, 4670, 0.640, 9, 0.840, 512, 75, 11, 21, 63, 85.843, 84.797
Mon Jan  9 10:05:57 EST 2017, 3433, 0.020, 1, 0.220, 325, 64, 18, 2, 52, 12.693, 12.430
Mon Jan  9 10:06:25 EST 2017, 8383, 0.520, 6, 0.720, 475, 19, 9, 27, 97, 27.450, 27.117
Mon Jan  9 10:06:40 EST 2017, 5908, 0.270, 8, 0.470, 550, 86, 4, 15, 29, 14.547, 14.500
Mon Jan  9 10:07:53 EST 2017, 958, 0.770, 4, 0.970, 400, 41, 14, 40, 74, 73.090, 72.667
Mon Jan  9 10:07:59 EST 2017, 1267, 0.300, 2, 0.750, 353, 16, 6, 26, 66, 5.307, 5.340
Mon Jan  9 10:08:10 EST 2017, 6217, 0.800, 7, 0.250, 503, 61, 15, 1, 21, 11.513, 11.007
Mon Jan  9 10:09:54 EST 2017, 8692, 0.050, 9, 0.500, 578, 38, 11, 38, 89, 103.160, 99.637
Mon Jan  9 10:09:58 EST 2017, 3742, 0.550, 5, 0.000, 428, 83, 1, 13, 44, 4.520, 4.580
Mon Jan  9 10:10:43 EST 2017, 4979, 0.180, 6, 0.880, 540, 95, 8, 7, 55, 42.123, 43.050
Mon Jan  9 10:10:49 EST 2017, 9929, 0.680, 1, 0.380, 390, 50, 18, 32, 10, 5.707, 5.830
Mon Jan  9 10:11:46 EST 2017, 7454, 0.430, 3, 0.630, 315, 72, 13, 19, 77, 55.017, 56.667
Mon Jan  9 10:11:54 EST 2017, 2504, 0.930, 8, 0.130, 465, 27, 4, 44, 32, 8.377, 8.400
Mon Jan  9 10:12:08 EST 2017, 1886, 0.110, 4, 0.440, 522, 22, 7, 23, 60, 13.510, 13.670
Mon Jan  9 10:12:43 EST 2017, 6836, 0.610, 8, 0.940, 372, 67, 17, 48, 15, 34.183, 33.503
Mon Jan  9 10:13:26 EST 2017, 9311, 0.360, 6, 0.190, 447, 44, 12, 10, 83, 42.023, 42.400
Mon Jan  9 10:13:39 EST 2017, 4361, 0.860, 2, 0.690, 597, 89, 2, 35, 38, 12.553, 13.093
Mon Jan  9 10:15:35 EST 2017, 3123, 0.490, 7, 0.310, 409, 78, 10, 41, 72, 111.573, 114.733
Mon Jan  9 10:15:54 EST 2017, 8073, 0.990, 3, 0.810, 559, 33, 19, 16, 27, 18.437, 18.043
Mon Jan  9 10:16:52 EST 2017, 5598, 0.240, 1, 0.060, 484, 55, 14, 29, 94, 57.540, 56.553
Mon Jan  9 10:16:53 EST 2017, 648, 0.740, 5, 0.560, 334, 10, 5, 4, 49, 1.233, 1.240
Mon Jan  9 10:21:19 EST 2017, 493, 0.440, 5, 0.230, 545, 93, 10, 47, 98, 261.197, 256.567
Mon Jan  9 10:21:23 EST 2017, 5443, 0.940, 9, 0.730, 395, 48, 1, 22, 53, 3.830, 3.930
