# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jun 23 06:43:22 EDT 2017, 0.010, 6, 4, 0.790, 6, 5, 19, 309, 86, 12, 13, 56, 3.720, 3.917
Fri Jun 23 06:46:53 EDT 2017, 0.020, 2, 9, 0.660, 4, 3, 78, 410, 46, 2, 31, 87, 1.593, 1.520
Fri Jun 23 06:55:06 EDT 2017, 0.520, 7, 4, 0.160, 9, 8, 33, 560, 91, 11, 6, 42, 5.617, 6.227
Fri Jun 23 07:00:07 EDT 2017, 0.770, 5, 2, 0.910, 6, 1, 10, 335, 24, 16, 44, 19, 2.633, 2.443
Fri Jun 23 07:04:10 EDT 2017, 0.270, 9, 7, 0.410, 2, 5, 55, 485, 69, 7, 19, 64, 2.947, 3.057
Fri Jun 23 07:09:17 EDT 2017, 0.390, 4, 3, 0.530, 5, 6, 89, 597, 35, 18, 37, 53, 5.603, 6.030
Fri Jun 23 07:14:23 EDT 2017, 0.890, 8, 8, 0.030, 1, 2, 44, 447, 80, 9, 12, 98, 6.347, 6.437
Fri Jun 23 07:19:25 EDT 2017, 0.640, 1, 5, 0.780, 3, 9, 21, 522, 13, 4, 25, 75, 1.533, 1.543
Fri Jun 23 07:22:37 EDT 2017, 0.140, 6, 1, 0.280, 7, 4, 66, 372, 58, 14, 0, 30, 5.127, 4.253
Fri Jun 23 07:27:33 EDT 2017, 0.210, 4, 7, 0.090, 9, 5, 83, 503, 41, 1, 3, 14, 1.253, 1.137
Fri Jun 23 07:33:15 EDT 2017, 0.710, 9, 3, 0.590, 5, 9, 38, 353, 86, 10, 28, 59, 5.963, 6.633
Fri Jun 23 07:37:22 EDT 2017, 0.960, 2, 5, 0.340, 2, 3, 16, 578, 18, 15, 15, 81, 5.837, 7.967
Fri Jun 23 07:42:18 EDT 2017, 0.460, 6, 9, 0.840, 7, 7, 61, 428, 63, 5, 40, 36, 1.820, 1.847
Fri Jun 23 07:48:52 EDT 2017, 0.330, 1, 1, 0.220, 1, 6, 95, 316, 52, 17, 22, 70, 7.007, 38.300
Fri Jun 23 07:54:43 EDT 2017, 0.830, 5, 6, 0.720, 6, 1, 50, 466, 97, 8, 47, 25, 2.937, 3.253
Fri Jun 23 07:59:35 EDT 2017, 0.580, 3, 8, 0.470, 8, 8, 27, 391, 29, 3, 9, 47, 1.540, 1.540
Fri Jun 23 08:04:16 EDT 2017, 0.080, 7, 4, 0.970, 4, 4, 72, 541, 74, 12, 34, 92, 7.250, 7.930
Fri Jun 23 08:09:19 EDT 2017, 0.110, 3, 2, 0.750, 2, 1, 35, 457, 66, 9, 39, 11, 1.833, 2.053
Fri Jun 23 08:14:20 EDT 2017, 0.610, 8, 7, 0.250, 7, 6, 80, 307, 21, 19, 14, 56, 2.433, 2.567
Fri Jun 23 08:19:37 EDT 2017, 0.860, 1, 9, 0.500, 9, 3, 58, 532, 89, 14, 26, 78, 9.340, 14.357
Fri Jun 23 08:24:03 EDT 2017, 0.360, 6, 5, 0.000, 4, 8, 13, 382, 44, 5, 1, 33, 1.640, 1.643
Fri Jun 23 08:29:10 EDT 2017, 0.490, 2, 6, 0.880, 8, 9, 47, 344, 55, 12, 33, 67, 3.310, 3.650
Fri Jun 23 09:06:41 EDT 2017, 0.990, 7, 1, 0.380, 3, 5, 92, 494, 10, 2, 8, 22, 1800.000, 1800.000
Fri Jun 23 09:10:22 EDT 2017, 0.740, 4, 3, 0.630, 1, 7, 69, 419, 77, 7, 45, 44, 3.843, 4.020
Fri Jun 23 09:15:29 EDT 2017, 0.240, 9, 8, 0.130, 5, 2, 24, 569, 32, 17, 20, 89, 3.937, 5.013
Fri Jun 23 09:20:31 EDT 2017, 0.180, 2, 4, 0.440, 7, 2, 41, 438, 60, 8, 23, 84, 3.907, 4.260
Fri Jun 23 09:25:33 EDT 2017, 0.680, 6, 8, 0.940, 3, 6, 86, 588, 15, 18, 48, 39, 2.350, 2.737
Fri Jun 23 09:30:09 EDT 2017, 0.930, 4, 6, 0.190, 5, 4, 64, 363, 83, 13, 11, 16, 2.630, 2.700
Fri Jun 23 09:35:16 EDT 2017, 0.430, 8, 2, 0.690, 9, 8, 19, 513, 38, 4, 36, 61, 2.633, 2.757
Fri Jun 23 09:40:17 EDT 2017, 0.300, 5, 7, 0.310, 4, 7, 52, 550, 72, 11, 5, 50, 3.617, 3.827
Fri Jun 23 09:45:24 EDT 2017, 0.800, 9, 3, 0.810, 8, 3, 97, 400, 27, 1, 30, 95, 1.517, 1.650
Fri Jun 23 09:52:37 EDT 2017, 0.550, 3, 1, 0.060, 6, 5, 75, 475, 94, 6, 17, 73, 9.447, 12.047
Fri Jun 23 09:57:34 EDT 2017, 0.050, 7, 5, 0.560, 2, 1, 30, 325, 49, 15, 42, 28, 1.833, 2.127
Fri Jun 23 10:03:21 EDT 2017, 0.030, 5, 5, 0.230, 8, 9, 57, 583, 98, 3, 29, 99, 4.323, 5.050
Fri Jun 23 10:08:17 EDT 2017, 0.530, 9, 9, 0.730, 3, 4, 12, 433, 53, 12, 4, 54, 2.727, 3.047
Fri Jun 23 10:42:24 EDT 2017, 0.780, 2, 7, 0.480, 1, 7, 34, 508, 76, 17, 41, 32, 4.193, 4.903
Fri Jun 23 10:45:55 EDT 2017, 0.280, 7, 2, 0.980, 6, 2, 79, 358, 31, 7, 16, 77, 2.827, 2.720
Fri Jun 23 10:51:02 EDT 2017, 0.410, 1, 8, 0.110, 2, 1, 68, 396, 87, 19, 48, 43, 3.940, 4.323
Fri Jun 23 10:56:14 EDT 2017, 0.910, 6, 4, 0.610, 7, 5, 23, 546, 42, 10, 23, 88, 8.137, 10.033
Fri Jun 23 11:01:10 EDT 2017, 0.660, 3, 1, 0.360, 9, 3, 45, 321, 65, 5, 35, 66, 4.100, 4.603
Fri Jun 23 11:06:12 EDT 2017, 0.160, 8, 6, 0.860, 4, 8, 90, 471, 20, 15, 10, 21, 1.530, 1.507
