# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 20:03:06 EDT 2017, 0.580, 138, 25, 7, 10, 589, 5, 28, 3, 30, 1.247, 1.240
Fri Jul  7 20:08:23 EDT 2017, 0.080, 158, 20, 3, 21, 439, 15, 48, 18, 10, 1.267, 1.330
Fri Jul  7 20:23:27 EDT 2017, 0.110, 139, 24, 2, 27, 373, 5, 39, 21, 44, 1.327, 1.347
Fri Jul  7 20:27:04 EDT 2017, 0.610, 159, 29, 6, 16, 523, 14, 19, 6, 24, 1.343, 1.220
Fri Jul  7 20:30:05 EDT 2017, 0.860, 129, 27, 4, 10, 448, 19, 49, 29, 14, 1.810, 1.807
Fri Jul  7 20:35:12 EDT 2017, 0.360, 149, 22, 8, 21, 598, 10, 29, 14, 34, 1.530, 1.543
Fri Jul  7 20:40:13 EDT 2017, 0.490, 124, 28, 3, 8, 561, 2, 14, 18, 19, 1.230, 1.237
Fri Jul  7 20:50:46 EDT 2017, 0.990, 144, 23, 7, 19, 411, 12, 34, 3, 39, 300.000, 300.000
Fri Jul  7 20:54:58 EDT 2017, 0.740, 134, 20, 5, 24, 486, 17, 24, 25, 49, 2.730, 2.930
Fri Jul  7 21:00:04 EDT 2017, 0.240, 154, 25, 9, 13, 336, 7, 44, 10, 29, 1.247, 1.267
Fri Jul  7 21:04:36 EDT 2017, 0.180, 127, 21, 7, 17, 317, 4, 22, 16, 42, 1.223, 1.283
Fri Jul  7 21:09:42 EDT 2017, 0.680, 147, 26, 3, 28, 467, 13, 42, 1, 22, 1.830, 1.833
Fri Jul  7 21:20:21 EDT 2017, 0.930, 137, 29, 9, 23, 392, 18, 12, 23, 12, 300.000, 300.000
Fri Jul  7 21:24:52 EDT 2017, 0.430, 157, 24, 5, 12, 542, 8, 32, 8, 32, 1.500, 1.520
Fri Jul  7 21:29:59 EDT 2017, 0.300, 132, 25, 6, 20, 579, 1, 47, 19, 17, 1.253, 1.227
Fri Jul  7 21:34:35 EDT 2017, 0.800, 152, 20, 2, 9, 429, 11, 27, 4, 37, 1.810, 1.963
Fri Jul  7 21:39:42 EDT 2017, 0.550, 122, 22, 8, 15, 504, 15, 37, 27, 47, 3.547, 3.857
Fri Jul  7 21:48:14 EDT 2017, 0.050, 142, 27, 4, 26, 354, 6, 17, 12, 27, 1.213, 1.230
Fri Jul  7 21:53:21 EDT 2017, 0.040, 130, 22, 9, 10, 528, 19, 41, 26, 39, 2.450, 2.630
Fri Jul  7 21:58:37 EDT 2017, 0.540, 150, 27, 5, 21, 378, 9, 21, 11, 19, 1.247, 1.247
Fri Jul  7 22:03:09 EDT 2017, 0.790, 120, 29, 7, 27, 453, 4, 31, 19, 29, 1.240, 1.220
Fri Jul  7 22:08:25 EDT 2017, 0.290, 140, 24, 3, 16, 303, 14, 11, 4, 49, 1.337, 1.327
Fri Jul  7 22:13:17 EDT 2017, 0.410, 125, 26, 8, 29, 340, 16, 26, 23, 24, 1.337, 1.420
Fri Jul  7 22:18:24 EDT 2017, 0.910, 145, 21, 4, 18, 490, 7, 46, 8, 44, 2.427, 2.410
Fri Jul  7 22:23:36 EDT 2017, 0.660, 135, 23, 6, 13, 415, 2, 16, 15, 34, 1.247, 1.213
Fri Jul  7 22:28:33 EDT 2017, 0.160, 155, 28, 2, 24, 565, 12, 36, 0, 14, 1.243, 1.240
