# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 10:54:27 EST 2017, 293, 0.190, 7, 0.240, 376, 73, 2, 40, 56, 15.700, 15.737
Mon Jan  9 10:54:31 EST 2017, 5243, 0.690, 3, 0.740, 526, 28, 11, 15, 11, 3.477, 3.367
Mon Jan  9 10:58:01 EST 2017, 7718, 0.440, 5, 0.490, 451, 96, 16, 27, 79, 205.683, 206.357
Mon Jan  9 10:58:06 EST 2017, 2768, 0.940, 9, 0.990, 301, 51, 7, 2, 34, 4.700, 4.617
Mon Jan  9 10:58:14 EST 2017, 4005, 0.320, 1, 0.120, 488, 39, 4, 21, 68, 7.100, 7.250
Mon Jan  9 10:59:01 EST 2017, 8955, 0.820, 6, 0.620, 338, 84, 14, 46, 23, 47.487, 46.480
Mon Jan  9 10:59:24 EST 2017, 6480, 0.070, 8, 0.370, 413, 17, 18, 9, 90, 22.187, 21.930
Mon Jan  9 11:00:17 EST 2017, 1530, 0.570, 4, 0.870, 563, 62, 9, 34, 45, 51.667, 52.997
Mon Jan  9 11:00:24 EST 2017, 2149, 0.380, 9, 0.550, 544, 56, 1, 12, 73, 6.447, 6.720
Mon Jan  9 11:00:29 EST 2017, 7099, 0.880, 4, 0.050, 394, 11, 10, 37, 28, 4.720, 4.757
Mon Jan  9 11:01:58 EST 2017, 9574, 0.130, 2, 0.800, 319, 79, 15, 24, 96, 88.037, 84.660
Mon Jan  9 11:02:21 EST 2017, 4624, 0.630, 7, 0.300, 469, 34, 5, 49, 51, 23.077, 22.983
Mon Jan  9 11:02:32 EST 2017, 3387, 0.010, 3, 0.680, 357, 45, 3, 31, 62, 10.227, 10.243
Mon Jan  9 11:02:48 EST 2017, 8337, 0.510, 8, 0.180, 507, 90, 12, 6, 17, 15.603, 15.550
Mon Jan  9 11:04:19 EST 2017, 5862, 0.260, 5, 0.930, 582, 23, 17, 43, 84, 90.443, 88.253
Mon Jan  9 11:04:31 EST 2017, 912, 0.760, 1, 0.430, 432, 68, 8, 18, 39, 11.137, 11.087
Mon Jan  9 11:04:50 EST 2017, 1221, 0.290, 4, 0.330, 310, 93, 12, 4, 37, 19.050, 18.347
Mon Jan  9 11:05:05 EST 2017, 6171, 0.790, 8, 0.830, 460, 48, 2, 29, 82, 14.780, 15.053
Mon Jan  9 11:05:15 EST 2017, 8646, 0.040, 6, 0.080, 535, 70, 7, 16, 14, 9.100, 8.960
Mon Jan  9 11:05:45 EST 2017, 3696, 0.540, 2, 0.580, 385, 25, 17, 41, 59, 30.307, 30.260
Mon Jan  9 11:06:08 EST 2017, 4933, 0.160, 7, 0.460, 573, 14, 14, 35, 48, 22.397, 22.267
